filename,rmse,function
Ples_202_run02_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_exp
Ples_202_run02_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_980000,nan,rmse_sig
Ples_202_run02_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_980000,nan,rmse_lin
Ples_202_run02_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_980000,nan,rmse_log
Ples_202_run02_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_980000,nan,rmse_exp
Ples_202_run03_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_sig
Ples_202_run03_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_lin
Ples_202_run03_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_log
Ples_202_run03_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_exp
Ples_202_run03_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_980000,nan,rmse_sig
Ples_202_run03_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_980000,nan,rmse_lin
Ples_202_run03_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_980000,nan,rmse_log
Ples_202_run03_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_980000,nan,rmse_exp
Ples_202_run04_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_sig
Ples_202_run04_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_lin
Ples_202_run04_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_log
Ples_202_run04_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_exp
Ples_202_run04_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_980000,nan,rmse_sig
Ples_202_run04_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_980000,nan,rmse_lin
Ples_202_run04_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_980000,nan,rmse_log
Ples_202_run04_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_980000,nan,rmse_exp
Ples_202_run04_2018-03-22_000001DLC_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_sig
Ples_202_run04_2018-03-22_000001DLC_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_lin
