,individual,Nose_Shoulder,Shoulder_Shoulder_FL,Shoulder_FL_FL_knee,FL_knee_FL,FL_FL_ti,FL_FL_ti1,FL_FL_to1,FL_FL_to,Shoulder_Shoulder_FR,Shoulder_FR_FR_knee,FR_knee_FR,FR_FR_ti,FR_FR_ti1,FR_FR_to1,FR_FR_to,Shoulder_Spine,Spine_Hip,Hip_Shoulder_HL,Shoulder_HL_HL_knee,HL_knee_HL,HL_HL_ti,HL_HL_ti1,HL_HL_to1,HL_HL_to,Hip_Shoulder_HR,Shoulder_HR_HR_knee,HR_knee_HR,HR_HR_ti,HR_HR_ti1,HR_HR_to1,HR_HR_to,Hip_Tail_middle,Tail_middle_Tail_tip
0,Gecko11,92.26419274435888,20.681641744959826,24.876809266472897,24.147137698388924,16.011322161257674,16.81057860070287,16.026647483921387,15.107716070953316,22.55779855100325,22.89603900051636,24.204578051217343,16.7635672052528,19.61219606105711,16.005748329879363,14.063344104885198,75.01440850844389,74.27678950067346,20.62051523323204,31.928297810075122,32.57309034136361,19.72887641021529,21.35100361786744,38.367568934483494,32.05575115395316,18.079267997654192,33.49338125922769,32.574004015634905,16.015451808504388,19.878951269738454,23.537971786783235,21.25795225432751,101.06974685074537,294.9891933067794
1,Gecko13,171.28519839140242,45.86239766472837,59.14167298668265,52.982221281048886,28.74073981935067,29.75287449753234,32.341779201291594,30.177358158742376,51.53381581765289,32.66625274811902,56.1695716959415,20.767639311577902,20.921958198072645,19.13952488827864,16.716266396624174,132.76378297078045,137.39404008172275,24.367666995803557,35.7004856956177,47.12363811092892,22.33738429971232,23.84730304847381,36.15348962663868,26.769253453420248,27.34036784217735,49.66406248234143,50.978932137515066,27.56815244605513,30.754838753494514,31.76404130431031,32.707473979111796,108.98907336316245,176.55096309547852
2,Gecko14,119.16573666989112,72.9520504306406,82.90123380647046,66.69349224592092,55.108625754148584,51.118695134636184,52.474628908581955,128.28538162639515,141.48954091059085,33.88925088123754,98.49006332663448,47.91040224489344,76.30967552453173,73.72704564767764,79.89744590948496,67.176491735137,77.2477289959298,113.80582002609793,185.60159988011193,174.08163602193252,91.86629836225882,80.3680910267327,79.7959340627212,25.27104225085564,35.43753489124328,64.11208716669564,113.87901374886994,54.187570425484715,103.04394248217841,115.0836060426897,86.31822199657896,105.97214771300432,153.50891287803887
3,Gecko16,85.15815507508684,27.390539890324167,26.185004200963512,30.158806468674136,32.13282234181233,35.85450355170226,35.4388683845477,24.481211132651826,23.547550848640974,26.27152748508631,38.53460171991873,24.12455396177827,43.941386332870856,26.853775447666962,15.855600875412156,57.0456031190536,58.774662464749426,17.708484809144185,29.8809171521216,32.65419440698121,24.41730946736919,27.478689400271968,22.571058629920206,23.871994532379105,15.902931302637352,30.096813744322105,44.01063439449601,24.559120715569467,34.85649401149306,36.49976532540304,34.808870878942116,90.05245985827653,212.14883761933336
4,Gecko17,126.38040074403551,26.593878089611927,50.351300287760594,40.78302858242416,43.25888375530681,59.03468238073333,47.163447764714476,28.26325651974011,23.81369646875134,40.29015433419417,44.28399330901396,22.951359133141423,43.021892307073834,34.471575176351976,25.50694768183767,53.17770532350663,57.227855099628805,38.35561317248935,71.67060944032617,87.46565573766921,35.137929969888646,39.8483130740416,64.64520652327214,42.725359070984894,17.039163068334563,94.76998568118478,92.99500638038073,16.709188237805567,47.96187785657932,45.92534745106815,20.328373936311213,84.54588606190138,185.21907864281033
5,Gecko18,100.9809667563206,20.96292088204593,25.44288510670153,27.848270625583194,19.429658590559033,18.477746613712277,16.110440419768903,12.780513841765288,21.498968449027128,25.946973818685166,24.03369450246864,18.650083880491188,18.68790463399303,16.12589979765206,14.661160305745748,63.15252538524082,74.38417910403986,17.63483467938446,34.800949866610054,33.43053118867457,20.143612353141854,24.24745794860965,25.021396821394188,21.528916712546724,16.660391811874042,33.96616010432024,30.91657698735826,21.752120662643517,22.49684325113557,27.400645711113825,25.539737151396427,107.24517189643312,176.12279096295703
