"","name","species","speed","stepphase","direction","foot","body_angle","step_length_FL","step_length_FR","step_length_HR","step_length_HL","midwrist_FL","midwrist_FR","midwrist_HR","midwrist_HL","limbROM_FL","limbROM_FR","limbROM_HR","limbROM_HL","spineROM_FL","spineROM_FR","spineROM_HR","spineROM_HL","CROM_FL","CROM_FR","CROM_HR","CROM_HL"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Swil1_up_08DLC_resnet50_Gecko01Apr8shuffle1_580000.csv","Swil1",15.4386111111111,1,"UP","FR",2.53473642498076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Swil1_up_08DLC_resnet50_Gecko01Apr8shuffle1_580000.csv","Swil1",396.573888888889,2,"UP","FR",1.67284447858938,NA,1.14241766953169,NA,2.17463127207305,NA,8.81690914898551,NA,NA,NA,11.817993089368,NA,21.1360149221093,NA,0.318790296754565,NA,0.685446377176114,NA,0,NA,0
"4","Swil1_up_08DLC_resnet50_Gecko01Apr8shuffle1_580000.csv","Swil1",251.616,3,"UP","FR",2.27526415269793,NA,23.4151199326236,NA,67.727506126556,NA,8.81690914898551,NA,NA,NA,14.8057828506731,NA,108.372443606795,NA,2.71317790549906,NA,5.25759466208136,NA,16.6847993877107,NA,-14.6541628507087
"5","Swil1_up_08DLC_resnet50_Gecko01Apr8shuffle1_580000.csv","Swil1",409.073333333333,4,"UP","FR",0.706120541045408,NA,64.9172725799207,NA,101.591259189834,NA,NA,NA,NA,NA,38.3124599850862,NA,108.372443606795,NA,5.25106542077042,NA,5.25759466208136,NA,50.0543981631321,NA,-21.9812442760631
"6","Swil1_up_08DLC_resnet50_Gecko01Apr8shuffle1_580000.csv","Swil1",291.854166666667,5,"UP","FR",6.6163151206944,NA,64.9172725799207,NA,101.591259189834,NA,7.18419617581764,NA,NA,NA,38.3124599850862,NA,108.372443606795,NA,5.25106542077042,NA,5.25759466208136,NA,50.0543981631321,NA,-21.9812442760631
"7","Swil1_up_08DLC_resnet50_Gecko01Apr8shuffle1_580000.csv","Swil1",322.693,6,"UP","FR",3.45908324952367,NA,26.549725631791,NA,50.795629594917,NA,7.18419617581764,NA,43.0563962680733,NA,40.2070502788708,NA,108.372443606795,NA,3.63286215773732,NA,5.25759466208136,NA,34.2724034704913,NA,-10.9906221380315
"8","Swil1_up_08DLC_resnet50_Gecko01Apr8shuffle1_580000.csv","Swil1",104.565789473684,7,"UP","FR",1.81015992158715,NA,39.8245884476865,NA,0,NA,8.1720721701358,NA,44.1729953862014,NA,40.2070502788708,NA,NA,NA,3.63286215773732,NA,NA,NA,51.4086052057369,NA,0
"9","Swil1_up_08DLC_resnet50_Gecko01Apr8shuffle1_580000.csv","Swil1",245.527692307692,8,"UP","FR",1.72005921963937,NA,31.6141675175942,NA,0,NA,8.1720721701358,NA,45.0334704091749,NA,55.4923311238269,NA,NA,NA,3.2781950307439,NA,NA,NA,9.46219308162965,NA,0
"10","Swil1_up_08DLC_resnet50_Gecko01Apr8shuffle1_580000.csv","Swil1",346.845,9,"UP","FR",1.77704713021766,NA,64.417596963851,NA,63.4937692963235,NA,NA,NA,NA,NA,100.037004241628,NA,80.4762447769277,NA,5.54176958079379,NA,3.46164152951432,NA,21.2899344336667,NA,-9.8781384305157
