,direction_of_running,stepphase_L1,stepphase_L2,stepphase_L3,stepphase_L4,stepphase_R1,stepphase_R2,stepphase_R3,stepphase_R4,L1_outlier_pred,L2_outlier_pred,L3_outlier_pred,L4_outlier_pred,R1_outlier_pred,R2_outlier_pred,R3_outlier_pred,R4_outlier_pred,ext-flex-dist_L1,ext-flex-dist_L2,ext-flex-dist_L3,ext-flex-dist_L4,ext-flex-dist_R1,ext-flex-dist_R2,ext-flex-dist_R3,ext-flex-dist_R4,ext-flex-phase_L1,ext-flex-phase_L2,ext-flex-phase_L3,ext-flex-phase_L4,ext-flex-phase_R1,ext-flex-phase_R2,ext-flex-phase_R3,ext-flex-phase_R4,body_speed_MMperS,inner_segm_L1,outer_segm_L1,inner_segm_L2,outer_segm_L2,inner_segm_L3,outer_segm_L3,inner_segm_L4,outer_segm_L4,inner_segm_R1,outer_segm_R1,inner_segm_R2,outer_segm_R2,inner_segm_R3,outer_segm_R3,inner_segm_R4,outer_segm_R4
106,RIGHT,b'stance0007',b'swing0007',b'stance0015',b'swing0008',b'stance0006',b'swing0005',b'stance0007',b'stance0010',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.997289322598033,2.52582761821669,2.5183457935000337,5.72092798089468,5.662240487860085,4.611787895483593,4.142196115606282,6.473854857404435,ext,flex,flex,ext,ext,ext,ext,flex,0.002306326624262057,1.8563832894833214,3.1409067236697634,1.7596444603422676,0.8165860312901501,0.6063344129440882,1.915095108637221,2.0266280931373855,3.7053941412637674,0.8287417967418365,4.841710725600006,1.6001388283156457,3.083750576360908,1.796137306903062,2.652003171985676,2.3384912191312432,4.146283317090387
107,RIGHT,b'stance0007',b'swing0007',b'stance0015',b'swing0008',b'stance0006',b'swing0005',b'swing0007',b'stance0010',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.90938916453265,2.930221224940492,3.3097695992599854,4.765358040078012,4.117419323413305,4.243756455122855,4.285870698103418,6.713836879624202,ext,ext,ext,flex,flex,flex,ext,ext,0.003784435179610614,2.049273807808847,3.860353225262365,1.7596270121764015,1.2509548715893344,0.9039248085587254,2.4286313619415405,1.7660209253247177,2.999897864891901,1.206458497462212,2.917530251997823,1.3454785515158438,2.981095897042882,1.6318198921721159,3.121030086507986,2.9604875453278554,3.766663560402293
108,RIGHT,b'stance0007',b'swing0007',b'stance0015',b'swing0008',b'stance0006',b'stance0006',b'swing0007',b'stance0010',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.18137006433228,2.4797809689764994,3.4128839793080123,5.4806251966518555,4.518792399667685,4.414434188269343,4.997411804006213,6.2109080862038475,ext,flex,ext,ext,ext,ext,ext,flex,0.0029178662606622863,2.0333930787699757,4.149239640885406,1.3095446286724677,1.4967883387679093,0.5605788077848687,2.85773731056006,1.5171906209015857,3.9642475292324666,1.6318460376487574,2.985364258540836,1.518658599724796,2.906160441186885,1.641027427671643,3.637667162350565,2.199626764352678,4.01263795121126
109,RIGHT,b'stance0007',b'swing0007',b'stance0015',b'swing0008',b'stance0006',b'stance0006',b'swing0007',b'stance0010',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.026384217773405,2.307178631970143,3.3442029787207495,6.235992025853502,4.502980343238704,3.812225900893596,5.015450357230441,6.338448618839891,flex,flex,flex,ext,flex,flex,ext,ext,0.002381183203675227,2.3925282509282075,3.639200918241881,1.0746765087187355,1.6531153053740035,0.6310179418870302,2.7166934994298457,1.7505753299261737,4.5247452294956725,1.9289720052762498,2.6356875740354755,1.1391493034718136,2.673337395332187,1.5322653296523345,3.6720690985832687,2.365232373142629,3.974703586934509
110,RIGHT,b'swing0007',b'stance0007',b'stance0015',b'swing0008',b'stance0006',b'swing0006',b'swing0007',b'stance0010',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.115975848779059,2.2224056263527534,2.754576789642168,6.200530334247854,4.552762629942009,3.7302120297689014,4.244766044111873,6.292731103188279,ext,flex,flex,flex,ext,flex,flex,flex,0.00234541871328722,2.0430240298054074,4.072952302256529,1.0280349023622148,1.4910217027028156,0.6496307358363158,2.1062260937031594,1.830951378827298,4.428637972856575,1.7718071424761155,2.83231825143115,1.3130545132531002,2.4352658777271823,1.6203008807763837,2.6706615121753776,2.3813267906821785,4.047848009609781
111,RIGHT,b'stance0008',b'stance0007',b'stance0015',b'swing0008',b'stance0006',b'swing0006',b'swing0007',b'stance0010',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.890470914740567,2.3993417534168806,3.0594025269470744,7.255423470005703,5.207391416332646,4.273679617546039,4.3625295576600704,6.224752762852097,flex,ext,ext,ext,ext,ext,ext,flex,0.0021246024363987892,2.2036657444712797,3.6950320649468633,0.9655587039744781,1.7017843570240565,0.482520087393171,2.577926287872751,2.0925870754575517,5.189179465541013,2.016515637389204,3.26346975698909,1.5959595049055046,2.7092122226231257,1.5329856919713423,2.8670512056008595,1.9126769901239447,4.312253964792183
112,RIGHT,b'swing0008',b'stance0007',b'stance0015',b'swing0008',b'swing0006',b'swing0006',b'swing0007',b'swing0010',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.358715411050025,2.1109951210633806,2.1585424621906926,6.9266283532263975,4.956884142986006,3.9134734098742765,4.127053287950221,5.946771045755001,ext,flex,flex,flex,flex,flex,flex,flex,0.0014465954259928982,2.3459592109738265,4.013757842126082,0.9161127559798895,1.328347903631109,0.2528746353706988,1.9104933210548578,2.134950875497198,4.831898228606618,1.839105487371984,3.1284814910957652,1.3994025691206222,2.536289644047048,1.5543961856117945,2.607180593959853,2.182250851680034,3.7839405084921185
113,RIGHT,b'swing0008',b'stance0007',b'stance0015',b'stance0008',b'swing0006',b'swing0006',b'swing0007',b'swing0010',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.1738534464316155,2.16655797649554,2.2240165574252986,7.450413859032336,5.771503511713338,4.007027156879606,4.465414869251319,6.149543218493842,flex,ext,ext,ext,ext,ext,ext,ext,0.00117747622123806,2.520498747121873,3.6684332211202864,1.2068114970884845,1.2918229776092967,0.3162075438578639,1.9109727806293182,2.459408825762656,5.022379931305325,2.187514416952269,3.6526876995716164,1.4985733001188855,2.531640013791347,1.630876237271096,2.8406397113589397,2.3095168519571154,3.8535616646251065
114,RIGHT,b'swing0008',b'stance0007',b'swing0016',b'stance0008',b'swing0006',b'swing0006',b'swing0007',b'swing0010',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.940649201731138,2.3341682106821975,2.2751210896249705,8.15015955834082,6.362975802215497,4.19213277937767,4.494764505871896,6.411609706918382,ext,ext,ext,ext,ext,ext,ext,ext,0.0024475731936880623,2.46875309971198,4.485307746578264,1.0752498250519258,1.3748889589424296,0.3423979193863756,1.9437209423845998,2.9513640465206468,5.212772793227697,1.844281501407313,4.562867139221775,1.4754816968432676,2.7729681209752024,1.7292180711827168,2.7753461840332005,2.4022884765720907,4.009322452733984
115,RIGHT,b'swing0008',b'stance0007',b'swing0016',b'stance0008',b'swing0006',b'swing0006',b'swing0007',b'swing0010',1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,5.708247510917903,2.689233060062407,2.2997639458313865,6.895757456319271,5.360437088405178,4.25774213958829,4.550641564257324,6.255581552156661,flex,ext,ext,flex,flex,ext,ext,flex,0.0023646550277475796,2.586769519294541,3.1540876771179267,1.2941275253790445,1.3986986674899107,0.4653211708474282,1.872448587769962,2.7495594837038286,4.146484797863355,1.4770792182234216,3.8833595858288463,1.867676892664162,2.442936308995291,1.7974797370510895,2.958461459446377,2.4628591937889404,3.794184198247864
116,RIGHT,b'swing0008',b'stance0007',b'swing0016',b'stance0008',b'swing0006',b'stance0007',b'swing0007',b'swing0010',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.800783155894416,2.4423693163820985,1.1845198156028895,7.749430325145058,6.246250742296262,4.099409961281546,4.004686764810477,6.565102077628049,ext,flex,flex,ext,ext,flex,flex,ext,0.000563984309204599,2.25721792098606,4.5619449048852845,1.3644714937292657,1.0812543686402045,0.3851669453865875,0.9462941395114022,2.8309293123413335,5.018410526806621,1.7224918848711746,4.563744576862027,1.9497277844333665,2.224457535875552,1.3372818146063097,2.738292326279071,2.5311446369940205,4.034438554686384
117,RIGHT,b'swing0008',b'stance0007',b'swing0016',b'stance0008',b'swing0006',b'stance0007',b'stance0008',b'swing0010',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.166623692699216,3.101429333515489,1.2547418318240926,6.996412377508204,5.646283329758659,3.493367593246309,4.4112608463728336,5.589200567933948,flex,ext,ext,flex,flex,flex,ext,flex,0.002140248302875228,1.5246084529239263,4.646142657426721,1.050715936648129,2.0522966667370293,0.27788068389590675,1.0076536035274342,1.9121256708101972,5.266897577927791,0.6795498069821485,5.014410301311784,0.6190274710276537,2.8745220100622544,1.2705062104366538,3.207297290152964,1.5721280331007632,4.062858891196088
118,RIGHT,b'swing0008',b'stance0007',b'swing0016',b'stance0008',b'swing0006',b'stance0007',b'stance0008',b'swing0010',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.989353675552251,2.624673697712398,1.1006828922635168,7.199189349794208,4.863669414144969,3.3425201952915495,4.7362091978807115,6.6623193970447225,ext,flex,flex,ext,flex,flex,ext,ext,0.0020856217222735263,2.1226610299754776,4.910885519382436,1.1196282503485973,1.5105795327178937,0.22579414611002682,0.8748887618523546,1.7916905494037703,5.58842045253303,1.6191828975373832,3.759261770086169,0.9758187003585528,2.490127824920541,1.4543648238228837,3.466749336611168,1.8917188552440014,4.778223111185774
119,RIGHT,b'swing0008',b'swing0008',b'swing0016',b'stance0008',b'stance0007',b'stance0007',b'stance0008',b'swing0010',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.3427047978150926,2.762529892552097,2.369302971732638,6.984826381029208,4.755228172120874,3.7763368394232932,5.022013138842332,6.416971120265065,flex,ext,ext,flex,flex,ext,ext,flex,0.002912277583975639,1.81429297938736,2.5786419388092594,1.4889575570970615,1.2754108350646496,0.7162882009899265,1.6580555619892297,2.3229368175893725,4.719113225375129,0.7298758330796894,4.027635687489062,0.8687630167802859,3.2339504274805693,1.6959436279550726,3.4292649166677878,2.2761149251049604,4.143013904302478
120,RIGHT,b'stance0009',b'stance0008',b'swing0016',b'stance0008',b'stance0007',b'stance0007',b'stance0008',b'swing0010',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.161915752471572,3.0702215880702353,2.7126474656148885,6.021972578103533,4.18891122467399,3.5604602076917216,5.22849224889363,6.793188945900029,flex,ext,ext,flex,flex,flex,ext,ext,0.004257540864811497,1.9847753161959296,2.482430321738057,1.6340574148289684,1.5312984921335853,0.9531867525671123,1.7922070819130085,2.5672944499430677,3.5712943233858354,1.1555588228100417,3.0346545265984175,1.0373606966282352,3.273260921334078,1.7289717651109344,3.5435971198290153,2.845316831988067,3.9501227701401884
121,RIGHT,b'stance0009',b'swing0009',b'stance0016',b'stance0008',b'stance0007',b'stance0007',b'stance0008',b'swing0010',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.069631132271611,2.7239693612038023,2.8465940003006187,5.965901151694707,5.670789601267765,4.401883173013811,5.1919081409542525,6.893699326915511,ext,flex,ext,flex,ext,ext,flex,ext,0.0035755007653743838,2.336931256530893,2.9750769327117745,1.7592359996400149,1.6286928638945415,0.6488350805661414,2.2188443602240326,2.4101003687902547,3.6075844400235497,1.529954092277847,4.143457952213341,1.1370802300123812,3.42088450458732,1.4553025494188947,3.8340485132586504,2.6120256347511117,4.2872338904960445
122,RIGHT,b'stance0009',b'swing0009',b'swing0017',b'stance0008',b'swing0007',b'stance0007',b'stance0008',b'swing0010',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.2386109494590425,3.5021894048213227,3.2911705528302426,6.1797428351909796,4.019020768272661,4.33342739875089,5.020029974456294,7.393324087384291,flex,ext,ext,ext,flex,flex,flex,ext,0.002721408418185423,1.7405100852394113,2.746813305628199,1.6749412689744436,2.0284445531498587,1.2477412554286884,2.0472424665977216,2.4990925540483757,3.693528107402711,1.1416298194295802,3.012772019336162,1.393791000442461,3.325324401066294,2.1322104267988067,3.0245245532277116,3.004595328451508,4.393313046383915
123,RIGHT,b'stance0009',b'swing0009',b'stance0017',b'stance0008',b'swing0007',b'swing0007',b'stance0008',b'swing0010',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.7043116518900705,3.090809616987812,3.495593662342579,5.894372293954688,4.765412210285132,4.9958797041599,4.871320870553238,8.323609280258724,ext,flex,ext,flex,ext,ext,flex,ext,0.002879420852297589,1.985639253866402,2.873453568618009,1.8867724889448412,1.543301153385659,0.8843852929433176,2.64051826745663,2.3509117945821845,3.5437354950258477,1.1621088394186374,3.603370672330507,1.508730007633306,3.686755204948822,1.7023088338316972,3.2329639254723013,2.913703694396223,5.428632874909471
124,RIGHT,b'stance0009',b'swing0009',b'stance0017',b'swing0009',b'swing0007',b'swing0007',b'stance0008',b'stance0011',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.963529617234543,2.9643254498578875,3.4772553834400863,5.340661988594742,4.539700206630739,5.141832877764821,4.7155517583505,8.436015024690011,ext,flex,flex,flex,flex,ext,flex,ext,0.0028934247425585176,1.9163845399423707,3.0949841924838544,1.8763765853549437,1.2451393648760085,0.9426644032562164,2.535605349290397,2.063960471460804,3.2767703053906327,1.1276337616640415,3.4123922174093235,1.5193468270958417,3.837524459811293,1.4529538284441124,3.308514319465273,2.9592701438189137,5.483571726983508
125,RIGHT,b'stance0009',b'swing0009',b'stance0017',b'swing0009',b'swing0007',b'swing0007',b'stance0008',b'stance0011',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.673322871972742,2.494541370554015,2.0475929826867136,4.663442017392449,3.6577177440871456,3.755004499765914,3.7138680203926637,7.8658176538850455,ext,flex,flex,flex,flex,flex,flex,flex,0.0021060869660279886,1.6190958628849037,4.0545826576798145,1.3731838668687328,1.1339495673279192,0.4612782941457158,1.7791224197800328,1.3457526432794384,3.3176894088122424,0.7942878970452301,2.9240298272049228,0.6067439439823692,3.395279948495134,1.118005655658687,2.7738642299278826,1.9705879442892134,5.947738278423661
126,RIGHT,b'stance0009',b'swing0009',b'stance0017',b'swing0009',b'stance0008',b'swing0007',b'stance0008',b'stance0011',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.596675678665374,2.185545535884734,2.5271626365279514,5.032188072099408,4.062378186156544,4.374799264755884,4.7249301278588085,7.638700215012797,flex,flex,ext,ext,ext,ext,ext,flex,0.003938095739445908,1.6308100184509047,3.971066569545016,1.645349448956952,1.012612966927529,0.258885218779678,2.3713830529565123,1.2346040235208637,3.801201233978319,1.1415560296118759,2.9841866472765037,1.2040734639145427,3.1774456975926024,1.3609908861398692,3.6296153508921565,2.147233271309811,5.5478780341792815
127,RIGHT,b'stance0009',b'swing0009',b'stance0017',b'swing0009',b'stance0008',b'swing0007',b'swing0008',b'stance0011',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.227580229632119,2.5138781531634664,2.455528032692118,5.367666417547871,3.789158118608004,3.9949798420110545,4.364853122669664,7.098190667948641,ext,ext,flex,ext,flex,flex,flex,flex,0.0031578369758509394,2.236067402269529,3.9936811389108278,1.6191118963812952,1.1109861877195566,0.24252561560783795,2.2392660420960433,1.407348458767857,3.9604341910721574,0.9022455665821036,2.900067878463003,1.4526113857657261,2.5516224883721645,1.6309092182764893,3.2341745176418546,2.1118669067478453,5.003735657624405
128,RIGHT,b'stance0009',b'swing0009',b'stance0017',b'swing0009',b'stance0008',b'swing0007',b'swing0008',b'stance0011',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.212502764201882,2.382383096759091,2.9122237580031762,5.310751386356412,3.9951615683637502,3.8300186732479107,5.144105155658877,6.793242081695661,flex,flex,ext,flex,ext,flex,ext,flex,0.0025576553851706855,1.9895599117388387,4.223122430202773,0.8804779882706583,1.9479242261695848,0.19794369148914973,2.7148162143053174,1.4369250016049553,3.8995171186916138,1.328130499172722,2.682373125480251,1.6977087159095339,2.1437588655712916,1.493855621703187,4.034175478048402,2.0189431586234217,4.780816858690399
