,direction_of_running,stepphase_L1,stepphase_L2,stepphase_L3,stepphase_L4,stepphase_R1,stepphase_R2,stepphase_R3,stepphase_R4,ext-flex-dist_L1,ext-flex-dist_L2,ext-flex-dist_L3,ext-flex-dist_L4,ext-flex-dist_R1,ext-flex-dist_R2,ext-flex-dist_R3,ext-flex-dist_R4,ext-flex-phase_L1,ext-flex-phase_L2,ext-flex-phase_L3,ext-flex-phase_L4,ext-flex-phase_R1,ext-flex-phase_R2,ext-flex-phase_R3,ext-flex-phase_R4,body_speed_MMperS
120,RIGHT,b'stance0010',b'stance0013',b'stance0009',b'stance0010',b'stance0016',b'stance0012',b'stance0011',b'swing0011',5.608042485816506,4.024983554261667,8.037897313430106,11.181075250078523,3.360345129755499,7.826364313526191,5.965048604105375,7.8583146284307235,flex,flex,ext,ext,flex,ext,ext,flex,0.007407800993507456
121,RIGHT,b'stance0010',b'stance0013',b'stance0009',b'stance0010',b'stance0016',b'stance0012',b'stance0011',b'swing0011',3.8088714138983666,3.2347005239532987,6.796745030314947,11.175379388670565,3.0388649621638653,5.911963906711955,5.2405188078113705,7.676076946310621,flex,flex,flex,flex,flex,flex,flex,flex,0.009904243033189397
122,RIGHT,b'stance0010',b'stance0013',b'stance0009',b'stance0010',b'swing0016',b'stance0012',b'nan',b'nan',3.6294645084173953,1.4902985435758194,6.367229202045475,9.234846966930801,5.446057442896377,6.577225379481446,4.8999105737678965,6.74787846170186,flex,flex,flex,flex,ext,ext,flex,flex,0.009430484987543578
123,RIGHT,b'swing0010',b'stance0013',b'stance0009',b'stance0010',b'swing0016',b'stance0012',b'nan',b'nan',4.961795027740059,3.6189221650916905,6.815859657003227,10.371336196297356,3.9467213588481216,6.248934766949104,5.399226608810881,6.637026592960108,ext,ext,ext,ext,flex,flex,ext,flex,0.010422339559774408
124,RIGHT,b'swing0010',b'stance0013',b'stance0009',b'stance0010',b'swing0016',b'stance0012',b'nan',b'nan',3.496361751073574,1.6615928872953458,8.387211598544825,10.852306816392334,3.5456528040330193,6.4225621721080675,4.728978316933851,6.071567152644913,flex,flex,ext,ext,flex,ext,flex,flex,0.007836393519550103
125,RIGHT,b'swing0010',b'stance0013',b'stance0009',b'nan',b'swing0016',b'nan',b'nan',b'nan',3.8405167310126926,,8.345840785450275,,3.1040126439991766,3.557129748238815,5.406127469393369,8.109950149904147,ext,,flex,,flex,flex,ext,ext,0.007286802993520465
126,RIGHT,b'swing0010',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',4.013658875825924,,8.225286865074995,,4.760011541602734,5.10035948698012,5.177645365747025,6.826587744915096,ext,,flex,,ext,ext,flex,flex,0.008377553906691995
127,RIGHT,b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',5.226833619676013,,8.131312626549745,9.8871595698127,4.619525511837122,5.857362333563297,4.5949037872399945,9.215596296540664,ext,,flex,,flex,ext,flex,ext,0.007779976921056511
128,RIGHT,b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',5.499492151240442,3.229041225422158,6.687459418352967,8.876639791165452,3.309282327119454,7.346195712899015,4.887832755015697,9.70844039998794,ext,,flex,flex,flex,ext,ext,ext,0.00795487263968756
129,RIGHT,b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',5.00740895600916,3.292080072681798,7.131738870910066,6.926095112413314,3.1613492859956955,7.649870916989121,4.825508145732237,10.27967445468175,flex,ext,ext,flex,flex,ext,flex,ext,0.007042278487815258
