,direction_of_running,stepphase_L1,stepphase_L2,stepphase_L3,stepphase_L4,stepphase_R1,stepphase_R2,stepphase_R3,stepphase_R4,L1_outlier_pred,L2_outlier_pred,L3_outlier_pred,L4_outlier_pred,R1_outlier_pred,R2_outlier_pred,R3_outlier_pred,R4_outlier_pred,ext-flex-dist_L1,ext-flex-dist_L2,ext-flex-dist_L3,ext-flex-dist_L4,ext-flex-dist_R1,ext-flex-dist_R2,ext-flex-dist_R3,ext-flex-dist_R4,ext-flex-phase_L1,ext-flex-phase_L2,ext-flex-phase_L3,ext-flex-phase_L4,ext-flex-phase_R1,ext-flex-phase_R2,ext-flex-phase_R3,ext-flex-phase_R4,body_speed_MMperS,inner_segm_L1,outer_segm_L1,inner_segm_L2,outer_segm_L2,inner_segm_L3,outer_segm_L3,inner_segm_L4,outer_segm_L4,inner_segm_R1,outer_segm_R1,inner_segm_R2,outer_segm_R2,inner_segm_R3,outer_segm_R3,inner_segm_R4,outer_segm_R4
0,RIGHT,b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,11.622320438247993,8.929855372372165,10.528796108944885,19.398460045261047,10.937358095929167,8.626336646130147,12.306907210449594,18.77173529685603,,,,,,,,,0.0,2.5069720897958483,9.292333136606143,2.805493395778534,7.255250256773865,4.761943117182511,6.23235692560006,6.115459045352948,13.289370659346554,2.410597934983931,8.53241190569684,1.8236205225266053,9.002316820448328,3.5424744904712813,9.181266195737994,6.847291584451238,12.079686322213634
1,RIGHT,b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.174149036490544,10.24295566848733,8.335198381009532,19.939425759446966,12.162704529931219,7.580046668677193,11.420583927646721,19.125093523701977,flex,ext,flex,ext,ext,flex,flex,ext,0.004497228357863306,1.918628415882802,8.449400350839808,2.880602455400698,8.34466542347638,3.7853397880457624,4.556296840734378,6.136201653708676,13.828188624060411,3.4864649517589306,8.739744123081794,1.2592081899985055,6.996383502321725,3.3531568779398455,8.488207234878766,5.895575820777415,13.341040291585585
2,RIGHT,b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.906075224728342,9.190927668477082,7.754249712819505,20.31261038933343,13.115930154914551,5.436212362612969,10.022219002458451,19.313790042940905,flex,flex,flex,ext,ext,flex,flex,ext,0.004493133806403794,1.4984520780576842,7.510266864309008,2.4374190577826997,7.743127623851951,3.699257474750318,4.088472176102624,6.2884387788582305,14.12572691421414,3.488987278994091,9.743633491867833,1.1891698455907378,5.338229032677919,3.299875019975651,7.173768475449602,5.963569724479048,13.482013777225633
3,RIGHT,b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.506441252354952,5.281737836913701,6.8304632080652965,20.21237225169501,13.20705910418566,5.745811777615378,9.934610651938709,18.212075333135395,ext,flex,flex,flex,ext,ext,flex,flex,0.0019742594109709165,1.5810478071504388,9.040071914885827,2.90449073073931,3.8019672657254855,3.446471986648056,3.5213732429509887,5.540870261963322,14.770896530069336,2.6191168877477593,10.60487039862813,1.3257078660881423,4.737776478793215,3.444745741955627,6.795796346528973,5.773364505667022,12.507751053441117
4,RIGHT,b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,10.740428863677574,7.974962549484268,6.857883424819306,20.244916526094723,13.890220524754918,6.532585485499912,10.023906998051796,18.20114342715506,ext,ext,ext,ext,ext,ext,ext,flex,0.005920421144435415,3.1544568586553514,7.8745396183471605,3.1019502231819427,5.880151679777293,3.448046276577881,3.4617106495321197,6.134125030685536,14.214478725220399,2.7824611602247247,11.133570877512003,1.4053392388042485,5.65855776285441,3.6429847121417316,7.084311712449621,6.017342764966666,12.208640322472284
5,RIGHT,b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,12.468931701301305,8.174104708199414,8.739078751201902,21.391957064783167,13.583906575210912,7.814891616930571,11.554246514554592,17.912822245303694,ext,ext,ext,ext,flex,ext,ext,flex,0.006907035956237787,3.7243536120286174,8.750132020233035,2.985728271887829,6.8178109716529525,3.269068156578515,6.530609727243724,7.142034009396167,14.281082372700157,3.0162821801006774,10.832227023304457,1.6583533796721177,6.562394915635812,4.473797003876877,7.363367063984,7.094060776691365,10.887560356510647
6,RIGHT,b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,13.830530130627135,9.283858168048532,9.89064409859774,20.503391089229574,9.018741191883548,8.380520493386438,11.480651460736311,15.284591193778656,ext,ext,ext,flex,flex,ext,flex,flex,0.005098708933047001,5.00004640150289,8.933579836192242,2.7073414849254314,7.524053920222587,3.0986767430378195,7.631568340088465,6.368181835651816,14.142000021617324,3.53109872130603,5.492890552474795,3.0802398256576056,5.363219172068327,4.3606190224115124,7.120033831282586,6.788283890103891,8.497444299315204
7,RIGHT,b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,13.610808735507295,9.760618832496574,12.038150187872489,20.780418784211573,11.46631755236509,8.036592854696865,12.690266164729621,15.59473932965294,flex,ext,ext,ext,ext,flex,ext,ext,0.00752301304033706,5.2208066923840715,8.443577587794572,2.4045724664671035,7.926133721576568,3.554261534649975,9.327157974549984,7.209666756754697,13.576932976008628,3.883779808640954,7.618162414908144,2.6461408699201727,5.8470101045965714,4.813663587781811,7.893332187313329,6.588572898549715,9.026787235101832
8,RIGHT,b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.888428839511612,15.517979286001854,11.999509855022954,20.564326169177324,14.71351946173355,7.961974813648994,12.0665319047386,14.389783818762295,ext,ext,flex,flex,ext,flex,flex,flex,0.007405614713590551,3.925118937564385,9.963515120574058,2.3206998190542056,13.972839597568226,3.5949693481093274,9.2521262990359,7.326441676399823,13.245086435046437,4.3347137272508425,10.770613652183599,2.493106821952486,5.931057164653441,4.716086822957746,7.392712946473138,5.977176739738467,8.439390483111607
9,RIGHT,b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.24247502056889,16.821534002824087,13.136878742957133,20.27325700035867,14.793545424154628,9.815210252749953,12.292670428107972,13.763686073073135,ext,ext,ext,flex,ext,ext,ext,flex,0.007885948336635496,3.1016849806244093,11.140798799451252,2.2686453080278075,14.99482952564005,2.9260088954734,10.518291663754805,7.663809757496114,12.641171336710048,4.427067890182794,10.541107794037304,3.026754475805247,7.164300618250531,4.84456850724934,7.49837427618675,6.539730976301784,7.278902518269798
