,direction_of_running,stepphase_L1,stepphase_L2,stepphase_L3,stepphase_L4,stepphase_R1,stepphase_R2,stepphase_R3,stepphase_R4,ext-flex-dist_L1,ext-flex-dist_L2,ext-flex-dist_L3,ext-flex-dist_L4,ext-flex-dist_R1,ext-flex-dist_R2,ext-flex-dist_R3,ext-flex-dist_R4,ext-flex-phase_L1,ext-flex-phase_L2,ext-flex-phase_L3,ext-flex-phase_L4,ext-flex-phase_R1,ext-flex-phase_R2,ext-flex-phase_R3,ext-flex-phase_R4,body_speed_MMperS
0,RIGHT,b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0
1,RIGHT,b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',1.7762749556580664,4.197271787437466,4.287523529732175,5.8758220260146885,3.8496287855102116,2.6570188216109214,3.4149559481247156,6.337564105847196,ext,ext,ext,ext,ext,ext,ext,ext,0.0003944612168660404
2,RIGHT,b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',1.7601550172712987,4.4154710120771465,4.269954011962248,5.857147370261593,3.9347959233499803,2.6077887930441115,3.2930782262864176,6.43508627355194,flex,ext,flex,flex,ext,flex,flex,ext,2.1109714041837868e-05
3,RIGHT,b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',1.3224883523189475,4.066824364073459,4.317334405598273,5.8752609262012685,3.9753042533753407,2.451879690817316,3.724286544034729,5.837765116224907,flex,flex,ext,ext,ext,flex,ext,flex,0.0004645441669589388
4,RIGHT,b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',1.3720865267812368,3.921858927481934,4.473922632299826,5.781524497493497,4.402640081363812,1.9440898034856033,3.5329579970762506,5.556676483005276,ext,flex,ext,flex,ext,flex,flex,flex,0.0018798879687888527
5,RIGHT,b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',0.7608532855746342,3.552243273293545,4.444071926476457,5.326945793143407,5.254276833214802,1.4607461217894233,3.123938503247208,5.866512866731669,flex,flex,flex,flex,ext,flex,flex,ext,0.004103932001378937
6,RIGHT,b'swing0001',b'nan',b'swing0001',b'stance0001',b'nan',b'swing0001',b'nan',b'nan',0.8374232126304108,,186.59251883887612,3.948673460811014,4.476126864353817,1.83559598131146,2.0414653782416994,,ext,,ext,flex,flex,ext,flex,,0.005023782441371339
7,RIGHT,b'swing0001',b'swing0001',b'swing0001',b'stance0001',b'nan',b'swing0001',b'stance0001',b'nan',0.8155801695794637,,40.0494441465521,3.394895668942329,,1.0714034082039607,1.5228433923279823,,flex,,flex,flex,,flex,flex,,0.00492048415673422
8,RIGHT,b'swing0001',b'swing0001',b'swing0001',b'stance0001',b'nan',b'swing0001',b'stance0001',b'nan',1.2465242273558295,,3.073628984271526,4.05467873442154,,1.790859721707724,1.6387545113199091,5.9257084662124955,ext,,flex,ext,,ext,ext,,0.004001934228295278
9,RIGHT,b'swing0001',b'swing0001',b'swing0001',b'stance0001',b'nan',b'swing0001',b'stance0001',b'nan',2.072961140234597,2.3476231851069356,190.1641991899296,2.639443445679796,,1.065092581503842,2.3236624345696075,,ext,,ext,flex,,flex,ext,,0.005911240017818634
10,RIGHT,b'swing0001',b'swing0001',b'swing0001',b'stance0001',b'nan',b'swing0001',b'stance0001',b'nan',0.30684217129062824,1.471676595929017,39.5120607655361,4.830141288907059,,2.0022666670345735,2.786412279004406,,flex,flex,flex,ext,,ext,ext,,0.003152814382091314
11,RIGHT,b'swing0001',b'swing0001',b'stance0001',b'stance0001',b'nan',b'swing0001',b'stance0001',b'nan',1.042522645779208,2.3358775906737916,3.0813553191115473,6.127043372675774,2.6149717812622466,3.606444846894862,3.577437900455489,5.123196322071901,ext,ext,flex,ext,,ext,ext,,0.003525475396377518
12,RIGHT,b'swing0001',b'swing0001',b'swing0002',b'stance0001',b'nan',b'swing0001',b'stance0001',b'nan',1.5537922654440814,2.204158339103916,3.4997290352885613,6.972036024472201,2.7604102779161868,3.800089723194416,3.1172650077819877,4.926547375645468,ext,flex,ext,ext,ext,ext,flex,flex,0.003208011753187673
13,RIGHT,b'swing0001',b'swing0001',b'swing0002',b'stance0001',b'swing0001',b'swing0001',b'swing0001',b'nan',1.886140160103071,2.6956044173951677,3.9063466202230077,7.533018375138441,2.604827645036304,4.597018861756842,3.2290271144209117,5.031331147784719,ext,ext,ext,ext,flex,ext,ext,ext,0.00431572114814863
14,RIGHT,b'stance0001',b'swing0001',b'stance0002',b'swing0001',b'swing0001',b'stance0001',b'swing0001',b'swing0001',2.2939344360708818,2.738558834133867,4.114642348941787,7.788953577203769,3.1336709695031066,3.9173274820048176,3.4688359743138455,5.094855381226602,ext,ext,ext,ext,ext,flex,ext,ext,0.003570277052181608
