,direction_of_running,stepphase_L1,stepphase_L2,stepphase_L3,stepphase_L4,stepphase_R1,stepphase_R2,stepphase_R3,stepphase_R4,L1_outlier_pred,L2_outlier_pred,L3_outlier_pred,L4_outlier_pred,R1_outlier_pred,R2_outlier_pred,R3_outlier_pred,R4_outlier_pred,ext-flex-dist_L1,ext-flex-dist_L2,ext-flex-dist_L3,ext-flex-dist_L4,ext-flex-dist_R1,ext-flex-dist_R2,ext-flex-dist_R3,ext-flex-dist_R4,ext-flex-phase_L1,ext-flex-phase_L2,ext-flex-phase_L3,ext-flex-phase_L4,ext-flex-phase_R1,ext-flex-phase_R2,ext-flex-phase_R3,ext-flex-phase_R4,body_speed_MMperS,inner_segm_L1,outer_segm_L1,inner_segm_L2,outer_segm_L2,inner_segm_L3,outer_segm_L3,inner_segm_L4,outer_segm_L4,inner_segm_R1,outer_segm_R1,inner_segm_R2,outer_segm_R2,inner_segm_R3,outer_segm_R3,inner_segm_R4,outer_segm_R4
91,RIGHT,b'stance0004',b'swing0005',b'swing0004',b'stance0005',b'stance0007',b'swing0010',b'swing0004',b'swing0006',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.798306369001617,0.5989054185950042,2.1508352527457766,4.696752248999113,1.627482569938584,2.5392862591794034,,,ext,flex,flex,ext,flex,flex,,,0.0037588156140771823,1.260068408650782,2.644338769483564,0.6618532185245468,0.6536255290343216,0.4542043435743848,1.7336182736714647,0.8266334421074023,3.8855380180958594,0.9442181733670764,0.7229452016893975,0.6282029828216308,1.9188172591175299,1.3784810546883786,,1.3507104186276648,
92,RIGHT,b'stance0004',b'stance0006',b'swing0004',b'swing0005',b'stance0007',b'stance0010',b'swing0004',b'swing0006',1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,2.7072533430670496,0.8733748315400962,2.052605211937443,6.025457076188933,1.8511462124031528,2.8523636209201655,3.350692844723264,3.2282447850650993,flex,ext,flex,ext,ext,ext,,,0.00343033200981344,1.24698993006331,1.4695478415551684,0.6908965425079452,0.7923649751043795,0.5830498080490332,1.4699082827282857,1.3541475774484535,4.785298365606791,0.9989928010369664,0.8524162210682713,0.5963404911448144,2.4118122926268026,1.4802628287890394,1.8766424878776253,1.6123841966498782,1.6162184695858282
93,RIGHT,b'stance0004',b'stance0006',b'swing0004',b'swing0005',b'stance0007',b'stance0010',b'stance0005',b'swing0006',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.246683849343004,1.624320879216293,3.957364208233467,6.6750374530586685,2.47927160059846,4.359331887549761,4.37683980177457,5.400476052312859,ext,ext,ext,ext,ext,ext,ext,ext,0.003777336877194197,1.1390989242508183,2.153998813976193,0.46656973288539616,1.490941880076926,1.0708513471462109,2.8899736947469568,2.038231932900523,4.649907811257006,1.1105631689202882,1.392214795516554,1.0694892708723265,3.3818763402358023,1.9494957752807918,2.427380471521114,2.3781390679389465,3.0332879291926518
94,RIGHT,b'swing0005',b'swing0006',b'stance0005',b'stance0006',b'swing0007',b'swing0011',b'stance0005',b'stance0007',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.391515719675985,1.6470467796681647,4.2125153965601925,6.93750409709049,2.7489323568454123,4.363657935532993,4.666639966140663,5.188083333395054,ext,ext,ext,ext,ext,ext,ext,flex,0.0033918716361511663,1.2744758274661423,2.1531358400932166,0.5059165949346626,1.5226002972637036,1.2275777259238734,2.994582796122483,2.7583989074105055,4.179176609151076,0.9420298229834565,1.829643768805833,1.0931950812068454,3.309586860850759,1.9164813659065292,2.7547065931539,2.5582024897911735,2.6298831788074026
95,RIGHT,b'swing0005',b'stance0007',b'stance0005',b'stance0006',b'swing0007',b'stance0011',b'stance0005',b'stance0007',1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,4.448361011150144,1.5648582998915792,4.088944090554073,6.465167982803779,3.17286049865709,3.877224004911681,4.518319072031817,5.475781458247619,ext,flex,flex,flex,ext,flex,flex,ext,0.0029650374856170555,1.9222584347831269,2.5703944893379327,0.683426494932585,1.406078260519808,1.3863365180643616,2.7307509063904383,2.721485065435141,3.7462030464766847,1.5198005723718282,1.6743037365817435,1.0900506801565568,2.792916314875502,1.9193147587528256,2.6250662543474874,2.8765331006972357,2.6055029749989562
96,RIGHT,b'swing0005',b'stance0007',b'stance0005',b'stance0006',b'swing0007',b'stance0011',b'stance0005',b'swing0007',1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,4.740916930880754,1.1663144196426136,2.476251504229534,5.760094683593271,2.266853153499923,2.679377852546656,4.093899566861945,4.8707353863612015,ext,flex,flex,flex,flex,flex,flex,flex,0.0014911582090989409,2.280643488566786,2.5497437876348394,1.0376313262589678,1.149550219445921,0.6742363540696891,1.820923923165084,2.5491402258775806,3.2109712021360335,0.7175169236119765,1.5498171084821963,0.4843404396397369,2.2243279597765917,1.5827936335749617,2.5852651483565494,2.79337348785182,2.0914053491401177
97,RIGHT,b'swing0005',b'swing0007',b'stance0005',b'stance0006',b'swing0007',b'stance0011',b'stance0005',b'stance0008',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.316545147601821,1.6768125691951041,3.4922052122422618,5.448155219354914,2.2732780265053134,3.206336294168388,4.5729364337104625,6.908937126275268,ext,ext,ext,flex,ext,ext,ext,ext,0.004157208996495041,2.753329591391262,2.702460223707566,1.3401568874571073,0.9977292054221695,1.3690889909606954,2.2336625585278753,2.5862432229330787,2.917649412634106,0.6127107559437786,1.6913465724032186,0.6843792913557424,2.559916745902177,2.0218496991408954,2.6944540448783725,3.3172789657814055,3.5936547153558758
98,RIGHT,b'swing0005',b'stance0008',b'stance0005',b'swing0006',b'swing0007',b'stance0011',b'swing0005',b'stance0008',-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.97656470723878,1.5538863080836125,2.449308976492207,4.526304880267795,1.4207698896645926,3.412288181001098,4.221003693408782,5.878537166992115,flex,flex,flex,flex,flex,ext,flex,flex,0.002393521512726229,1.2789199535965792,2.7011149394529017,0.9283553315183364,0.7322350480685813,0.7703867164231875,1.6999933815136825,1.4689897754043848,3.1377862355363892,0.5070631661547061,0.952604630778517,0.5874034993524595,2.9678436174040312,1.8128664582250142,2.560042660405428,2.293321624663793,3.5873402896051734
99,RIGHT,b'swing0005',b'stance0008',b'swing0005',b'swing0006',b'swing0007',b'stance0011',b'swing0005',b'swing0008',1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0893630538015087,0.9309003887790271,,4.292189895053703,0.6436143378066599,,2.859029242915614,,flex,flex,,flex,flex,,flex,,0.0031512007886208646,0.7400069218921396,1.1933269486825504,0.033013774867983695,0.9609454066975087,0.7397421013607367,,0.9053110081671408,4.083264936500686,0.35093628741895533,0.494311536928008,0.5423685656926834,,0.6196939206976458,2.2396496171975135,0.8627941898514383,
100,RIGHT,b'swing0005',b'swing0008',b'swing0005',b'stance0007',b'swing0007',b'stance0011',b'swing0005',b'swing0008',1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,0.5251274941870488,1.1082815763866358,,7.532256865502143,,,3.175391633692229,,flex,ext,,ext,,,ext,,0.003655895863870573,0.14161078226296075,0.3907081403659594,0.1269712884471111,1.2348634985486728,0.5454553611455013,,0.5200540850720576,7.118318923892116,0.08538339644453782,,0.6323654016018017,,0.6820664834778469,2.6566061126476326,0.33473877608237096,
