,direction_of_running,stepphase_L1,stepphase_L2,stepphase_L3,stepphase_L4,stepphase_R1,stepphase_R2,stepphase_R3,stepphase_R4,ext-flex-dist_L1,ext-flex-dist_L2,ext-flex-dist_L3,ext-flex-dist_L4,ext-flex-dist_R1,ext-flex-dist_R2,ext-flex-dist_R3,ext-flex-dist_R4,ext-flex-phase_L1,ext-flex-phase_L2,ext-flex-phase_L3,ext-flex-phase_L4,ext-flex-phase_R1,ext-flex-phase_R2,ext-flex-phase_R3,ext-flex-phase_R4,body_speed_MMperS
0,RIGHT,b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0
1,RIGHT,b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',3.3177792923693947,,5.107242850102641,9.942420226049096,3.656128161545713,4.707106514319924,,8.655481260252444,ext,,ext,ext,ext,ext,,ext,0.005249108201018878
2,RIGHT,b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',3.435068096988227,,4.5284948215078416,11.277842211264451,3.5550275143646894,4.413503682946232,,8.049101700900762,ext,,flex,ext,flex,flex,,flex,0.004705116006706953
3,RIGHT,b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',3.2559053293126587,,,11.79394644320179,,3.715249109388717,,6.545807781477722,flex,,,ext,,flex,,flex,0.0054378284107643735
4,RIGHT,b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',,,,12.254145764091488,,2.759068168840935,,6.0716389790506256,,,,ext,,flex,,flex,0.0048937950893276315
5,RIGHT,b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',,,,12.44605087912116,,4.164657403734402,,6.174888290751523,,,,ext,,ext,,ext,0.004824993337992168
6,RIGHT,b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',3.746653236647061,6.0670332221962,3.605448392393326,12.184250014815557,,4.517703465509952,,,,,,flex,,ext,,,0.0034727791427678245
7,RIGHT,b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',4.409403822761795,5.979984359420801,3.281971531661625,12.221982884282982,,3.2050947769168103,,,ext,flex,flex,ext,,flex,,,0.003175371095857983
8,RIGHT,b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',4.0876039524266385,6.587368279970728,3.502821867995194,10.804295385538968,,2.76507238262228,,7.803333041262059,flex,ext,ext,flex,,flex,,,0.0033684947427161075
9,RIGHT,b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',5.379348883673726,7.181365887103445,4.153368200428977,10.326137808416547,,2.1350974565711303,,8.11877320485496,ext,ext,ext,flex,,flex,,ext,0.006516517175811045
