,direction_of_running,stepphase_L1,stepphase_L2,stepphase_L3,stepphase_L4,stepphase_R1,stepphase_R2,stepphase_R3,stepphase_R4,ext-flex-dist_L1,ext-flex-dist_L2,ext-flex-dist_L3,ext-flex-dist_L4,ext-flex-dist_R1,ext-flex-dist_R2,ext-flex-dist_R3,ext-flex-dist_R4,ext-flex-phase_L1,ext-flex-phase_L2,ext-flex-phase_L3,ext-flex-phase_L4,ext-flex-phase_R1,ext-flex-phase_R2,ext-flex-phase_R3,ext-flex-phase_R4,body_speed_MMperS
188,RIGHT,b'swing0012',b'swing0010',b'stance0012',b'swing0012',b'swing0014',b'stance0010',b'swing0013',b'stance0015',13.730661744559159,9.866015360217286,13.270772742311605,21.4014477546214,25.947967035196303,11.609838299063375,11.362756466760422,18.87033043699742,ext,flex,ext,flex,ext,flex,flex,ext,0.004246691797602219
189,RIGHT,b'swing0012',b'swing0010',b'stance0012',b'swing0012',b'swing0014',b'stance0010',b'swing0013',b'stance0015',15.47593634224617,8.461097765933038,13.343876503186577,21.496030923502374,10.484829466080814,11.042047458244797,12.136611171478023,20.794579836569255,ext,flex,ext,ext,flex,flex,ext,ext,0.006717860001650982
190,RIGHT,b'swing0012',b'swing0010',b'stance0012',b'swing0012',b'swing0014',b'stance0010',b'swing0013',b'stance0015',14.634640927812885,,13.52287321323333,21.75830618090405,8.698827193273146,10.402580573710443,10.010587844504323,21.872530322382246,flex,,ext,ext,flex,flex,flex,ext,0.006248791658610282
191,RIGHT,b'stance0013',b'swing0010',b'stance0012',b'swing0012',b'swing0014',b'swing0011',b'swing0013',b'swing0015',14.107658697296008,,14.108988799990104,20.970068564969193,7.125023730408303,10.931244932461155,9.961191527441732,21.22597024623813,flex,,ext,flex,flex,ext,flex,flex,0.005135761415910521
192,RIGHT,b'stance0013',b'swing0010',b'stance0012',b'swing0012',b'swing0014',b'swing0011',b'swing0013',b'swing0015',12.202950031869417,9.800146262985395,14.623079686862798,21.416455234301388,7.532226724136518,11.007473210668957,10.287694123005165,20.876296578772113,flex,,ext,ext,ext,ext,ext,flex,0.0037476121533820384
193,RIGHT,b'stance0013',b'swing0010',b'stance0012',b'swing0012',b'stance0015',b'swing0011',b'nan',b'swing0015',12.849228924134092,11.74820316655411,15.165691284734326,21.27467699705779,8.94979533161784,11.906590042954086,9.11331710327935,20.668946735707788,ext,ext,ext,flex,ext,ext,flex,flex,0.007079648819914218
194,RIGHT,b'swing0013',b'swing0010',b'stance0012',b'swing0012',b'swing0015',b'swing0011',b'nan',b'swing0015',13.449218858804462,13.740334142324583,14.975717323374848,21.707311394203554,11.242955354597436,11.755765335221174,9.219917048171226,19.637062087646182,ext,ext,flex,ext,ext,flex,ext,flex,0.004714477978965388
195,RIGHT,b'swing0013',b'swing0010',b'stance0012',b'swing0012',b'swing0015',b'swing0011',b'nan',b'nan',14.09407380575005,13.408364266800163,14.60907937664375,21.00090634973437,11.583071861164223,12.476916918948428,9.413940481833114,19.845560158214855,ext,flex,flex,flex,ext,ext,ext,ext,0.0016478868792739105
196,RIGHT,b'swing0013',b'nan',b'swing0013',b'swing0012',b'nan',b'swing0011',b'nan',b'nan',14.209204050976213,14.140509969714875,14.335557906036366,21.224197248111878,11.849903344586494,13.395625612811932,9.56508612679869,19.69002021615512,ext,ext,flex,ext,ext,ext,ext,flex,0.004200305805187877
197,RIGHT,b'nan',b'nan',b'swing0013',b'swing0012',b'nan',b'nan',b'nan',b'nan',13.720271847691524,14.281739900596605,14.871097078477836,20.04342427752689,10.73640844709076,12.159380430196375,10.149948370950835,20.393491427244154,flex,ext,ext,flex,flex,flex,ext,ext,0.00199718437883885
198,RIGHT,b'nan',b'nan',b'nan',b'swing0012',b'nan',b'nan',b'nan',b'nan',14.139677616460999,14.353259865793232,14.53024960858298,20.520690563349653,11.558895848741441,13.189740200809029,9.93476537607861,20.914427090266468,ext,ext,flex,ext,ext,ext,flex,ext,0.004802782215640602
199,RIGHT,b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',13.835684418948151,,14.557927772447048,20.850437607389285,10.296432062949231,12.112838778242567,9.816022693963113,21.574782960207678,flex,,ext,ext,flex,flex,flex,ext,0.0018727279988121663
200,RIGHT,b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',13.783891371857052,,14.704240271985189,20.87894160869693,10.592760837804038,12.337981359468413,9.602196553364935,21.82053691752345,flex,,ext,ext,ext,ext,flex,ext,0.0008847950758429703
201,RIGHT,b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',14.00360567193789,14.189016227270326,14.298698224132156,20.826802052082666,11.181575402087246,12.595069724842334,9.222097994590293,21.92242947823779,ext,,flex,flex,ext,ext,flex,ext,0.0014264095076335262
202,RIGHT,b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',13.970158809422044,14.067256164831772,14.650831942151349,20.96251296605265,10.11333591521424,11.238168251963925,10.042620159370733,21.879467319460318,flex,flex,ext,ext,flex,flex,ext,flex,0.001089805440425832
203,RIGHT,b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',14.018932809203243,14.083967419608943,14.149170124423549,20.784853879556987,11.389432496387826,12.430121909929872,9.350665222019563,21.77252515578782,ext,ext,flex,flex,ext,ext,flex,flex,0.0012839645560478823
204,RIGHT,b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',13.933914881499764,13.920855051017655,14.492250250607833,20.450754422184602,10.390988077308334,11.453234726463814,9.534366125843967,21.70838257748574,flex,flex,ext,flex,flex,flex,ext,flex,0.001071752690787503
205,RIGHT,b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',14.155082955949798,13.63849024169495,14.51875678083489,20.631260629126487,10.748539446271712,11.82623930895365,9.672205757460025,21.443703020638637,ext,flex,ext,ext,ext,ext,ext,flex,9.678035845593822e-05
206,RIGHT,b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',14.174538741781173,14.097791037143798,14.144468433823217,20.35646216236082,11.537777088501217,12.58022985581344,9.7228035890834,21.668142050505267,ext,ext,flex,flex,ext,ext,ext,ext,0.000715601189271686
207,RIGHT,b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',14.196449464262818,14.416715072302235,14.589119063725844,20.747973455671456,10.21910781835177,11.509032700831828,10.420767366359826,21.71595064944814,ext,ext,ext,ext,flex,flex,ext,ext,0.0009317384350116033
208,RIGHT,b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',14.008785363948892,14.163166020657165,14.199129102324848,20.24387939556479,11.672049039430929,12.940413543359137,9.293340008037799,21.546162074776433,flex,flex,flex,flex,ext,ext,flex,flex,0.0009616599713690818
209,RIGHT,b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',14.162724170757699,14.168317125220783,14.46590114162924,20.320990610436244,10.547413080504796,11.452704122189623,9.730354280582867,21.547668270696242,ext,ext,ext,ext,flex,flex,ext,ext,0.0007499410498347392
