,direction_of_running,stepphase_L1,stepphase_L2,stepphase_L3,stepphase_L4,stepphase_R1,stepphase_R2,stepphase_R3,stepphase_R4,ext-flex-dist_L1,ext-flex-dist_L2,ext-flex-dist_L3,ext-flex-dist_L4,ext-flex-dist_R1,ext-flex-dist_R2,ext-flex-dist_R3,ext-flex-dist_R4,ext-flex-phase_L1,ext-flex-phase_L2,ext-flex-phase_L3,ext-flex-phase_L4,ext-flex-phase_R1,ext-flex-phase_R2,ext-flex-phase_R3,ext-flex-phase_R4,body_speed_MMperS
0,RIGHT,b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0
1,RIGHT,b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',3.8180371545321505,6.429768615973941,7.614610904229676,6.681342157562202,3.957431732347011,5.877768333115873,5.2424727362386605,9.094670400261922,ext,ext,ext,ext,ext,ext,ext,ext,0.0018477118005891418
2,RIGHT,b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',4.285546254594819,5.960593875987644,7.371556986106295,7.039812420407766,5.8988532763471975,6.155753028388491,4.983356956501854,9.307524132620417,ext,flex,flex,ext,ext,ext,flex,ext,0.001930910786910188
3,RIGHT,b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',4.088958830447358,6.454776080045379,7.126527860849256,7.638729610327241,5.793098728700926,6.21866992128256,5.775969874372906,9.545326284746583,flex,ext,flex,ext,flex,ext,ext,ext,0.0011480507664389373
4,RIGHT,b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',3.856686591370352,6.271259777081316,6.650152918763482,7.898723378137664,6.5500570788309735,5.915039360335988,6.1302495790149125,9.629371481994468,flex,flex,flex,ext,ext,flex,ext,ext,0.0012742554635741463
5,RIGHT,b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',4.740495073748385,6.232507103506315,6.504390978438124,8.58256189062705,5.806745902413577,5.263247458307046,6.512083006172789,8.794256016095819,ext,flex,flex,ext,flex,flex,ext,flex,0.0025461852508396965
6,RIGHT,b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',4.580190246161419,5.130506070132399,6.515875323776144,8.654152838703414,5.831384073540253,4.61956590912065,6.743481680788549,8.277350727585953,flex,flex,ext,ext,ext,flex,ext,flex,0.00328923853084161
7,RIGHT,b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',5.003065731428636,4.198717213959409,6.828127663145966,9.84896228007652,6.046967648072403,4.408912545504113,7.020757474622058,7.835393886662551,ext,flex,ext,ext,ext,flex,ext,flex,0.003343694394016982
8,RIGHT,b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',5.170910547986222,4.511209218232958,6.610297136037373,10.115469216144879,5.938377483299492,3.8265752408414766,6.751542084118666,7.80698688684209,ext,ext,flex,ext,flex,flex,flex,flex,0.004252845665162381
9,RIGHT,b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',4.3351174953101355,4.8468963037968775,6.233196523086397,10.515618293313793,7.084486044281574,3.4168600788045476,6.342367276050211,7.332391589591933,flex,ext,flex,ext,ext,flex,flex,flex,0.003518855079483527
