filename,rmse_sig,std_sig,rmse_lin,std_lin,rmse_exp,std_exp,rmse_log,std_log
Ples203_run16_sandpaper_resnet50_waterdragonsDec12shuffle1_1030000,13.13,0.0,20.2,0.0,nan,0.0,28.1,0.0
Ples203_run17_sandpaper_resnet50_waterdragonsDec12shuffle1_1030000,382.39,0.0,392.32,0.0,nan,0.0,397.65,0.0
Ples203_run18_sandpaper_resnet50_waterdragonsDec12shuffle1_1030000,nan,0.0,510.87,0.0,509.04,0.0,509.8,0.0
Ples_03_rubber_up_run01_resnet50_waterdragonsDec12shuffle1_1030000,nan,0.0,nan,0.0,nan,0.0,nan,0.0
Ples_03_rubber_up_run02_resnet50_waterdragonsDec12shuffle1_1030000,nan,0.0,nan,0.0,nan,0.0,nan,0.0
Ples_202_run01_resnet50_waterdragonsDec12shuffle1_1030000,nan,0.0,nan,0.0,nan,0.0,nan,0.0
Ples_202_run02_resnet50_waterdragonsDec12shuffle1_1030000,nan,0.0,nan,0.0,nan,0.0,nan,0.0
Ples_202_run03_resnet50_waterdragonsDec12shuffle1_1030000,nan,0.0,nan,0.0,nan,0.0,nan,0.0
Ples_202_run04-2_resnet50_waterdragonsDec12shuffle1_1030000,nan,0.0,nan,0.0,nan,0.0,nan,0.0
Ples_202_run04_resnet50_waterdragonsDec12shuffle1_1030000,nan,0.0,nan,0.0,nan,0.0,nan,0.0
Ples_202_run05_resnet50_waterdragonsDec12shuffle1_1030000,nan,0.0,nan,0.0,nan,0.0,nan,0.0
Ples_202_run06_resnet50_waterdragonsDec12shuffle1_1030000,nan,0.0,nan,0.0,nan,0.0,nan,0.0
Ples_202_run07_resnet50_waterdragonsDec12shuffle1_1030000,19.85,0.0,45.18,0.0,nan,0.0,56.84,0.0
Ples_202_run08_resnet50_waterdragonsDec12shuffle1_1030000,nan,0.0,nan,0.0,nan,0.0,nan,0.0
Ples_202_run09_resnet50_waterdragonsDec12shuffle1_1030000,nan,0.0,nan,0.0,nan,0.0,nan,0.0
Ples_202_run23_up_rubber_resnet50_waterdragonsDec12shuffle1_1030000,nan,0.0,nan,0.0,nan,0.0,nan,0.0
Ples_202_run24_down_rubber_resnet50_waterdragonsDec12shuffle1_1030000,378.46,0.0,389.96,0.0,nan,0.0,390.52,0.0
Ples_202_run25_down_rubber_resnet50_waterdragonsDec12shuffle1_1030000,411.19,0.0,422.21,0.0,nan,0.0,424.5,0.0
Ples_202_run26_up_rubber_resnet50_waterdragonsDec12shuffle1_1030000,147.55,0.0,169.49,0.0,167.69,0.0,172.65,0.0
Ples_203_run10_resnet50_waterdragonsDec12shuffle1_1030000,254.92,0.0,265.35,0.0,nan,0.0,264.72,0.0
Ples_203_run11_resnet50_waterdragonsDec12shuffle1_1030000,38.95,0.0,49.47,0.0,44.62,0.0,44.3,0.0
Ples_203_run12_resnet50_waterdragonsDec12shuffle1_1030000,nan,0.0,nan,0.0,nan,0.0,nan,0.0
Ples_203_run13_resnet50_waterdragonsDec12shuffle1_1030000,nan,0.0,nan,0.0,nan,0.0,nan,0.0
Ples_203_run14_resnet50_waterdragonsDec12shuffle1_1030000,64.82,0.0,68.58,0.0,nan,0.0,71.26,0.0
Ples_203_run15_resnet50_waterdragonsDec12shuffle1_1030000,nan,0.0,nan,0.0,nan,0.0,nan,0.0
Ples_203_run20_up_rubber_resnet50_waterdragonsDec12shuffle1_1030000,266.79,0.0,279.81,0.0,278.62,0.0,278.83,0.0
Ples_203_run21_up_rubber_resnet50_waterdragonsDec12shuffle1_1030000,307.52,0.0,310.55,0.0,309.97,0.0,309.89,0.0
Ples_203_run22_down_rubber_resnet50_waterdragonsDec12shuffle1_1030000,nan,0.0,nan,0.0,nan,0.0,nan,0.0
ples102_run01_up_2018-03-14_waterdragonsDec12shuffle1_1030000,nan,0.0,nan,0.0,nan,0.0,nan,0.0
ples102_run02_up_2018-03-14_waterdragonsDec12shuffle1_1030000,nan,0.0,37.72,0.0,nan,0.0,42.74,0.0
ples102_run03_down_2018-03-14_waterdragonsDec12shuffle1_1030000,nan,0.0,nan,0.0,nan,0.0,nan,0.0
ples102_run04_down_2018-03-14_waterdragonsDec12shuffle1_1030000,258.13,0.0,271.37,0.0,262.64,0.0,265.84,0.0
ples101_run1_up_2018-03-14_waterdragonsDec12shuffle1_1030000,nan,0.0,nan,0.0,nan,0.0,nan,0.0
ples101_run02_up_2018-03-14_waterdragonsDec12shuffle1_1030000,nan,0.0,nan,0.0,nan,0.0,nan,0.0
