filename,rmse,function
Ples203_run16_sandpaper_resnet50_waterdragonsDec12shuffle1_1030000,13.13,rmse_sig
Ples203_run16_sandpaper_resnet50_waterdragonsDec12shuffle1_1030000,20.2,rmse_lin
Ples203_run16_sandpaper_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_log
Ples203_run16_sandpaper_resnet50_waterdragonsDec12shuffle1_1030000,28.1,rmse_exp
Ples203_run17_sandpaper_resnet50_waterdragonsDec12shuffle1_1030000,382.39,rmse_sig
Ples203_run17_sandpaper_resnet50_waterdragonsDec12shuffle1_1030000,392.32,rmse_lin
Ples203_run17_sandpaper_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_log
Ples203_run17_sandpaper_resnet50_waterdragonsDec12shuffle1_1030000,397.65,rmse_exp
Ples203_run18_sandpaper_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_sig
Ples203_run18_sandpaper_resnet50_waterdragonsDec12shuffle1_1030000,510.87,rmse_lin
Ples203_run18_sandpaper_resnet50_waterdragonsDec12shuffle1_1030000,509.04,rmse_log
Ples203_run18_sandpaper_resnet50_waterdragonsDec12shuffle1_1030000,509.8,rmse_exp
Ples_03_rubber_up_run01_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_sig
Ples_03_rubber_up_run01_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_lin
Ples_03_rubber_up_run01_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_log
Ples_03_rubber_up_run01_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_exp
Ples_03_rubber_up_run02_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_sig
Ples_03_rubber_up_run02_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_lin
Ples_03_rubber_up_run02_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_log
Ples_03_rubber_up_run02_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_exp
Ples_202_run01_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_sig
Ples_202_run01_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_lin
Ples_202_run01_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_log
Ples_202_run01_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_exp
Ples_202_run02_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_sig
Ples_202_run02_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_lin
Ples_202_run02_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_log
Ples_202_run02_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_exp
Ples_202_run03_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_sig
Ples_202_run03_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_lin
Ples_202_run03_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_log
Ples_202_run03_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_exp
Ples_202_run04-2_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_sig
Ples_202_run04-2_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_lin
Ples_202_run04-2_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_log
Ples_202_run04-2_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_exp
Ples_202_run04_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_sig
Ples_202_run04_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_lin
Ples_202_run04_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_log
Ples_202_run04_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_exp
Ples_202_run05_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_sig
Ples_202_run05_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_lin
Ples_202_run05_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_log
Ples_202_run05_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_exp
Ples_202_run06_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_sig
Ples_202_run06_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_lin
Ples_202_run06_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_log
Ples_202_run06_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_exp
Ples_202_run07_resnet50_waterdragonsDec12shuffle1_1030000,19.85,rmse_sig
Ples_202_run07_resnet50_waterdragonsDec12shuffle1_1030000,45.18,rmse_lin
Ples_202_run07_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_log
Ples_202_run07_resnet50_waterdragonsDec12shuffle1_1030000,56.84,rmse_exp
Ples_202_run08_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_sig
Ples_202_run08_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_lin
Ples_202_run08_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_log
Ples_202_run08_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_exp
Ples_202_run09_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_sig
Ples_202_run09_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_lin
Ples_202_run09_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_log
Ples_202_run09_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_exp
Ples_202_run23_up_rubber_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_sig
Ples_202_run23_up_rubber_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_lin
Ples_202_run23_up_rubber_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_log
Ples_202_run23_up_rubber_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_exp
Ples_202_run24_down_rubber_resnet50_waterdragonsDec12shuffle1_1030000,378.46,rmse_sig
Ples_202_run24_down_rubber_resnet50_waterdragonsDec12shuffle1_1030000,389.96,rmse_lin
