scorer,DLC_resnet50_SpiderDLC_62-111Jan20shuffle1_550000,DLC_resnet50_SpiderDLC_62-111Jan20shuffle1_550000,DLC_resnet50_SpiderDLC_62-111Jan20shuffle1_550000,DLC_resnet50_SpiderDLC_62-111Jan20shuffle1_550000,DLC_resnet50_SpiderDLC_62-111Jan20shuffle1_550000,DLC_resnet50_SpiderDLC_62-111Jan20shuffle1_550000,DLC_resnet50_SpiderDLC_62-111Jan20shuffle1_550000,DLC_resnet50_SpiderDLC_62-111Jan20shuffle1_550000,DLC_resnet50_SpiderDLC_62-111Jan20shuffle1_550000,DLC_resnet50_SpiderDLC_62-111Jan20shuffle1_550000,DLC_resnet50_SpiderDLC_62-111Jan20shuffle1_550000,DLC_resnet50_SpiderDLC_62-111Jan20shuffle1_550000,DLC_resnet50_SpiderDLC_62-111Jan20shuffle1_550000,DLC_resnet50_SpiderDLC_62-111Jan20shuffle1_550000,DLC_resnet50_SpiderDLC_62-111Jan20shuffle1_550000,DLC_resnet50_SpiderDLC_62-111Jan20shuffle1_550000,DLC_resnet50_SpiderDLC_62-111Jan20shuffle1_550000,DLC_resnet50_SpiderDLC_62-111Jan20shuffle1_550000,DLC_resnet50_SpiderDLC_62-111Jan20shuffle1_550000,DLC_resnet50_SpiderDLC_62-111Jan20shuffle1_550000,DLC_resnet50_SpiderDLC_62-111Jan20shuffle1_550000,DLC_resnet50_SpiderDLC_62-111Jan20shuffle1_550000,DLC_resnet50_SpiderDLC_62-111Jan20shuffle1_550000,DLC_resnet50_SpiderDLC_62-111Jan20shuffle1_550000,DLC_resnet50_SpiderDLC_62-111Jan20shuffle1_550000,DLC_resnet50_SpiderDLC_62-111Jan20shuffle1_550000,DLC_resnet50_SpiderDLC_62-111Jan20shuffle1_550000,DLC_resnet50_SpiderDLC_62-111Jan20shuffle1_550000,DLC_resnet50_SpiderDLC_62-111Jan20shuffle1_550000,DLC_resnet50_SpiderDLC_62-111Jan20shuffle1_550000,DLC_resnet50_SpiderDLC_62-111Jan20shuffle1_550000,DLC_resnet50_SpiderDLC_62-111Jan20shuffle1_550000,DLC_resnet50_SpiderDLC_62-111Jan20shuffle1_550000
bodyparts,L1,L1,L1,L2,L2,L2,L3,L3,L3,L4,L4,L4,R1,R1,R1,R2,R2,R2,R3,R3,R3,R4,R4,R4,Head,Head,Head,Body,Body,Body,Tail,Tail,Tail
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,740.3728637695312,702.4556884765625,0.9999995231628418,725.1653442382812,689.4116821289062,1.0,695.9826049804688,687.0371704101562,1.0,650.3804321289062,698.5299072265625,0.9999999403953552,740.6373291015625,731.8065185546875,0.9999999403953552,723.0067138671875,751.973388671875,1.0,690.2825927734375,758.0347900390625,1.0,654.19775390625,742.8968505859375,1.0,708.5281982421875,721.1718139648438,1.0,691.9525756835938,721.8515014648438,1.0,676.6129150390625,721.76953125,1.0
1,739.3118896484375,702.58447265625,0.9999992847442627,724.9380493164062,689.791015625,1.0,695.7616577148438,688.0330200195312,1.0,650.3883666992188,699.0391235351562,1.0,741.610107421875,730.3482666015625,1.0,723.1414184570312,750.4749145507812,1.0,690.9931640625,758.2476196289062,1.0,654.3261108398438,742.9755859375,1.0,708.811279296875,721.4672241210938,1.0,692.1076049804688,722.0814819335938,1.0,676.7290649414062,722.0546875,1.0
2,740.1670532226562,702.6368408203125,0.9999996423721313,725.1123657226562,689.6522216796875,1.0,695.782958984375,687.3536987304688,1.0,650.6340942382812,699.0444946289062,1.0,740.7820434570312,731.9614868164062,0.9999999403953552,722.8588256835938,751.9144897460938,1.0,690.3373413085938,758.1499633789062,1.0,654.1602783203125,743.0302124023438,1.0,708.4111938476562,721.3778076171875,1.0,692.0383911132812,722.1329345703125,1.0,676.7005615234375,721.9974365234375,1.0
3,740.1423950195312,702.4560546875,0.9999996423721313,724.986572265625,689.5956420898438,1.0,695.9464111328125,687.62353515625,1.0,650.6484375,698.8113403320312,1.0,740.9990844726562,731.72119140625,1.0,723.0025024414062,751.6517944335938,0.9999998807907104,690.1224365234375,758.1317749023438,1.0,654.0891723632812,743.0941162109375,1.0,708.4942626953125,721.3572387695312,1.0,692.0350341796875,722.1143188476562,1.0,676.6079711914062,721.99560546875,1.0
4,739.485595703125,702.3311767578125,0.9999995827674866,725.0458984375,689.7364501953125,1.0,695.7994995117188,687.8538818359375,1.0,650.6013793945312,699.001708984375,1.0,741.1597290039062,730.506103515625,1.0,723.1563720703125,750.63916015625,0.9999998807907104,690.7377319335938,758.0100708007812,1.0,654.2005615234375,743.177734375,1.0,708.8678588867188,721.3767700195312,1.0,692.2304077148438,722.0731201171875,1.0,676.8955078125,722.1426391601562,1.0
5,740.3203735351562,702.8515625,0.9999998211860657,725.1904296875,689.7825927734375,1.0,695.882568359375,687.1053466796875,1.0,650.5972900390625,698.8814697265625,0.9999998807907104,740.9384765625,732.1700439453125,1.0,723.7755737304688,752.3464965820312,1.0,690.3286743164062,758.1611938476562,1.0,654.0191040039062,743.1315307617188,1.0,708.470458984375,721.3173217773438,1.0,691.9429931640625,722.0897216796875,1.0,676.5556030273438,721.9881591796875,1.0
6,739.4134521484375,702.503173828125,0.9999994039535522,725.12744140625,689.8370361328125,1.0,695.7025146484375,687.999267578125,1.0,650.5657958984375,699.0100708007812,1.0,741.4391479492188,730.4472045898438,1.0,723.3225708007812,750.5640258789062,0.9999998807907104,690.9776000976562,758.0438232421875,1.0,654.078125,743.0457153320312,1.0,708.9091186523438,721.5679321289062,1.0,692.3059692382812,722.232666015625,1.0,676.7985229492188,722.2109375,1.0
7,740.5775756835938,702.5006103515625,0.9999996423721313,725.0487670898438,689.6593017578125,1.0,695.9805297851562,687.4402465820312,1.0,650.4702758789062,698.948974609375,1.0,740.772216796875,731.9705810546875,1.0,722.9041137695312,751.827880859375,1.0,690.1754760742188,758.3394775390625,1.0,654.215576171875,743.07421875,1.0,708.5079956054688,721.1918334960938,1.0,692.3197631835938,722.0250854492188,1.0,676.7084350585938,721.9795532226562,1.0
