,direction_of_climbing,body_deflection_angle,speed_PXperS,stepphase_FL,stepphase_FR,stepphase_HR,stepphase_HL,step-length_FR,step-length_FL,step-length_HR,step-length_HL,dynamics_FL,dynamics_FR,dynamics_HR,dynamics_HL,mid_stance_wrist_angles_mean_FL,mid_stance_wrist_angles_mean_FR,mid_stance_wrist_angles_mean_HR,mid_stance_wrist_angles_mean_HL,limbROM_FL,limbROM_FR,limbROM_HR,limbROM_HL,spineROM_FL,spineROM_FR,spineROM_HR,spineROM_HL,CROM_FL,CROM_FR,CROM_HR,CROM_HL,shoulder_angle_FL,shoulder_angle_FR,shoulder_angle_HR,shoulder_angle_HL,mid_stance_toe_angles_mean_fl_ti-fl_ti1,mid_stance_toe_angles_mean_fl_ti1-fl_to1,mid_stance_toe_angles_mean_fl_to1-fl_to,mid_stance_toe_angles_mean_fr_ti-fr_ti1,mid_stance_toe_angles_mean_fr_ti1-fr_to1,mid_stance_toe_angles_mean_fr_to1-fr_to,mid_stance_toe_angles_mean_hr_ti-hr_ti1,mid_stance_toe_angles_mean_hr_ti1-hr_to1,mid_stance_toe_angles_mean_hr_to1-hr_to,mid_stance_toe_angles_mean_hl_ti-hl_ti1,mid_stance_toe_angles_mean_hl_ti1-hl_to1,mid_stance_toe_angles_mean_hl_to1-hl_to
0,DOWN,,,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,DOWN,,,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,DOWN,,,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,DOWN,,,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,DOWN,,,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,DOWN,,3755.5,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,DOWN,,4159.73,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,DOWN,,4231.79,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,DOWN,,5360.66,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,DOWN,,5443.61,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,DOWN,,5033.6,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,DOWN,,4637.31,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,DOWN,,5217.7,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,,,,154.0653484644332,,,,,,,,,,,,,,,
13,DOWN,,5379.52,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,,,,148.666120042284,163.19649269477046,,,,,,,,,,,,,,
14,DOWN,,4806.59,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,,,,145.56728665175635,166.86910436083147,,,,,,,,,,,,,,
15,DOWN,,5819.87,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,,,,148.0783172272964,174.32652589286766,,,,,,,,,,,,,,
16,DOWN,,5652.68,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,,,,151.92709256361564,167.83223178023695,,,,,,,,,,,,,,
17,DOWN,,5204.09,b'nan',b'swing0001',b'nan',b'nan',37.9238275978171,,,,,,,,,,,,,28.077610411081608,,,,11.61194590449606,,,,,,,149.79610905463576,154.62100198921266,,,,,,,,,,,,,,
18,DOWN,0.4300772626658613,5704.165,b'nan',b'swing0001',b'nan',b'nan',37.9238275978171,,,,,,,,,,,,,28.077610411081608,,,,11.61194590449606,,,,,,,154.80821075995652,150.16667655353706,167.35522988649012,174.66271008641263,,,,,,,,,,,,
19,DOWN,1.053937513660827,5615.56,b'nan',b'swing0001',b'nan',b'nan',37.9238275978171,,,,,,,,,,,,,28.077610411081608,,,,11.61194590449606,,,,,,,162.22499693410708,154.50082003615847,176.54959813699588,159.9491631942012,,,,,,,,,,,,
20,DOWN,2.1393499681234687,4943.27,b'nan',b'swing0001',b'nan',b'nan',37.9238275978171,,,,,,,,,,,,,28.077610411081608,,,,11.61194590449606,,,,,,,170.17291987901604,150.56741701486936,179.51447560811184,,,,,,,,,,,,,
21,DOWN,5.050519833693414,5270.54,b'nan',b'swing0001',b'nan',b'stance0001',37.9238275978171,,,,,,,,,,,124.39776789796728,,28.077610411081608,,,,11.61194590449606,,,,,,,170.2780246217641,154.7608478424396,174.39219619071173,146.65242720376523,,,,,,,,,,51.43498889518232,51.08632761162238,56.56590719215561
