,direction_of_climbing,speed_PXperS,stepphase_FR,stepphase_FL,stepphase_HR,stepphase_HL,step-length_FR,step-length_FL,step-length_HR,step-length_HL,dynamics_FR,dynamics_FL,dynamics_HR,dynamics_HL,mid_stance_wrist_angles_mean_FL,mid_stance_wrist_angles_mean_FR,mid_stance_wrist_angles_mean_HR,mid_stance_wrist_angles_mean_HL,limbROM_FL,limbROM_FR,limbROM_HR,limbROM_HL,spineROM_FL,spineROM_FR,spineROM_HR,spineROM_HL
0,b'DOWN',6316.96,b'stride0001',b'stride0001',b'stride0001',b'stride0001',226.2316835982365,72.05124376597851,78.81751560275119,109.12757406135928,114.68565376333234,6.7702553699945955,11.719049280307186,121.28391887631682,,,,,,,,,,2.494824186208067,,3.394742879525068
1,b'DOWN',6316.96,b'stride0001',b'stride0001',b'stride0001',b'stride0001',226.2316835982365,72.05124376597851,78.81751560275119,109.12757406135928,111.42834144363563,15.807764447789753,1.6130890967304679,96.92903799174546,,,,,,,,,,2.494824186208067,,3.394742879525068
2,b'DOWN',7228.46,b'stride0001',b'stride0001',b'stride0001',b'stride0001',226.2316835982365,72.05124376597851,78.81751560275119,109.12757406135928,60.7361537682753,76.84862051727124,78.07100447226873,57.54592819671864,,,,,,,,,,2.494824186208067,,3.394742879525068
3,b'DOWN',6672.27,b'stride0001',b'stride0001',b'stride0001',b'stride0001',226.2316835982365,72.05124376597851,78.81751560275119,109.12757406135928,36.801728927961726,17.495437707707268,9.733098764529384,100.67378004768865,,,,,,,,,,2.494824186208067,,3.394742879525068
4,b'DOWN',7076.15,b'stride0001',b'stance0001',b'stance0001',b'stride0001',226.2316835982365,,,109.12757406135928,85.22229042207873,,,82.24939643216828,,,,,,,,,,2.494824186208067,,3.394742879525068
5,b'DOWN',7049.25,b'stride0001',b'stance0001',b'stance0001',b'stride0001',226.2316835982365,,,109.12757406135928,80.43366373687765,,,66.93122606292543,,,,,,,,,,2.494824186208067,,3.394742879525068
6,b'DOWN',7288.22,b'stride0001',b'stride0002',b'stride0002',b'stride0001',226.2316835982365,324.8474475472671,181.30070920490255,109.12757406135928,158.51502776001584,73.29313315345713,40.627636704789644,158.86472450792806,,,,,18.705116621707802,,,,10.881863319614464,2.494824186208067,10.881863319614464,3.394742879525068
7,b'DOWN',6650.78,b'stride0001',b'stride0002',b'stride0002',b'stride0001',226.2316835982365,324.8474475472671,181.30070920490255,109.12757406135928,102.16778242028197,154.30599158261882,110.2233619685084,55.59739603527338,,,,,18.705116621707802,,,,10.881863319614464,2.494824186208067,10.881863319614464,3.394742879525068
8,b'DOWN',6422.06,b'stride0001',b'stride0002',b'stride0002',b'stride0001',226.2316835982365,324.8474475472671,181.30070920490255,109.12757406135928,82.6594945192267,154.86197928818655,114.40866192693196,28.571342710996273,,,,,18.705116621707802,,,,10.881863319614464,2.494824186208067,10.881863319614464,3.394742879525068
9,b'DOWN',7028.47,b'stride0001',b'stride0002',b'stride0002',b'stride0001',226.2316835982365,324.8474475472671,181.30070920490255,109.12757406135928,102.212980522196,159.65379821110264,108.57325800720753,22.94826488067422,,,,,18.705116621707802,,,,10.881863319614464,2.494824186208067,10.881863319614464,3.394742879525068
10,b'DOWN',7961.15,b'stance0001',b'stride0002',b'stride0002',b'stride0001',,324.8474475472671,181.30070920490255,109.12757406135928,,141.34832540166357,96.84899261595501,29.01174125594792,,,,,18.705116621707802,,,,10.881863319614464,,10.881863319614464,3.394742879525068
11,b'DOWN',7598.64,b'stance0001',b'stride0002',b'stride0002',b'stance0001',,324.8474475472671,181.30070920490255,,,127.32902468158684,79.88339751660543,,,,,,18.705116621707802,,,,10.881863319614464,,10.881863319614464,
12,b'DOWN',6930.27,b'stride0002',b'stride0002',b'stride0002',b'stance0001',368.22112630395907,324.8474475472671,181.30070920490255,,152.2199338670658,104.19720654537257,58.85610143009072,,,,,,18.705116621707802,70.93466980740075,,,10.881863319614464,11.561755655726396,10.881863319614464,
13,b'DOWN',6896.14,b'stride0002',b'stride0002',b'stride0002',b'stance0001',368.22112630395907,324.8474475472671,181.30070920490255,,161.46480275661426,68.39831066060493,32.17915403260051,,,,,,18.705116621707802,70.93466980740075,,,10.881863319614464,11.561755655726396,10.881863319614464,
14,b'DOWN',6983.66,b'stride0002',b'stride0002',b'stride0002',b'stride0002',368.22112630395907,324.8474475472671,181.30070920490255,334.20130780176936,158.94645523895744,56.26540451068007,20.23070341580435,117.32037923572646,,,,,18.705116621707802,70.93466980740075,,,10.881863319614464,11.561755655726396,10.881863319614464,11.561755655726396
15,b'DOWN',7145.25,b'stride0002',b'stride0002',b'stride0002',b'stride0002',368.22112630395907,324.8474475472671,181.30070920490255,334.20130780176936,159.06349133851114,91.99824977516494,10.424900137911578,117.69352125789328,,,,,18.705116621707802,70.93466980740075,,,10.881863319614464,11.561755655726396,10.881863319614464,11.561755655726396
16,b'DOWN',7236.97,b'stride0002',b'stance0002',b'stride0002',b'stride0002',368.22112630395907,,181.30070920490255,334.20130780176936,146.99746032057467,,14.7158454942792,104.92370154044723,,,,,,70.93466980740075,,,,11.561755655726396,10.881863319614464,11.561755655726396
17,b'DOWN',8145.72,b'stride0002',b'stance0002',b'stance0002',b'stride0002',368.22112630395907,,,334.20130780176936,131.78706692809743,,,89.496182192815,,,,,,70.93466980740075,,,,11.561755655726396,,11.561755655726396
18,b'DOWN',7220.13,b'stride0002',b'stride0003',b'stance0002',b'stride0002',368.22112630395907,375.434164894286,,334.20130780176936,119.51271429715608,158.6476147044033,,73.7966998078559,,,,,82.74942885162935,70.93466980740075,,,10.139810474563923,11.561755655726396,,11.561755655726396
