,direction_of_climbing,body_deflection_angle,speed_PXperS,stepphase_FL,stepphase_FR,stepphase_HR,stepphase_HL,step-length_FR,step-length_FL,step-length_HR,step-length_HL,dynamics_FL,dynamics_FR,dynamics_HR,dynamics_HL,mid_stance_wrist_angles_mean_FL,mid_stance_wrist_angles_mean_FR,mid_stance_wrist_angles_mean_HR,mid_stance_wrist_angles_mean_HL,limbROM_FL,limbROM_FR,limbROM_HR,limbROM_HL,spineROM_FL,spineROM_FR,spineROM_HR,spineROM_HL,CROM_FL,CROM_FR,CROM_HR,CROM_HL,shoulder_angle_FL,shoulder_angle_FR,shoulder_angle_HR,shoulder_angle_HL,mid_stance_toe_angles_mean_fl_ti-fl_ti1,mid_stance_toe_angles_mean_fl_ti1-fl_to1,mid_stance_toe_angles_mean_fl_to1-fl_to,mid_stance_toe_angles_mean_fr_ti-fr_ti1,mid_stance_toe_angles_mean_fr_ti1-fr_to1,mid_stance_toe_angles_mean_fr_to1-fr_to,mid_stance_toe_angles_mean_hr_ti-hr_ti1,mid_stance_toe_angles_mean_hr_ti1-hr_to1,mid_stance_toe_angles_mean_hr_to1-hr_to,mid_stance_toe_angles_mean_hl_ti-hl_ti1,mid_stance_toe_angles_mean_hl_ti1-hl_to1,mid_stance_toe_angles_mean_hl_to1-hl_to
0,DOWN,,7035.49,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,DOWN,,7035.49,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,DOWN,,8255.66,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,DOWN,,7993.74,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,DOWN,,7759.15,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,,,,150.63926537314586,171.9709884659926,,,,,,,,,,,,,,
5,DOWN,,7641.0,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,,,,145.73013081977203,170.96559278192092,,,,,,,,,,,,,,
6,DOWN,,7445.94,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,,,,144.38804985457202,179.28583906543645,,,,,,,,,,,,,,
7,DOWN,,6942.225,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,,,,152.4916337822296,175.58290910654998,,,,,,,,,,,,,,
8,DOWN,10.577946637952692,8031.27,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,,,,143.99963774418453,172.5784279790494,179.50928511276283,172.75223141229972,,,,,,,,,,,,
9,DOWN,12.434278780862485,8100.195,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,,,,149.6664253327591,149.11832705323863,169.06767168303546,172.22811490487308,,,,,,,,,,,,
10,DOWN,13.271272764633068,8076.885,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,,,,160.4749431386053,148.50026456352393,173.73595016608147,163.41987524862134,,,,,,,,,,,,
11,DOWN,13.993411262000592,7338.335,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,,,,179.35123381455736,157.23291674334294,162.15249410728364,,,,,,,,,,,,,
12,DOWN,14.185310159250463,8183.225,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,,,,176.79225727653116,147.59234483330494,156.42882508102363,157.17937023675643,,,,,,,,,,,,
13,DOWN,13.119604532725361,8197.35,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,,,,176.44211818896156,159.77402232528104,159.6767113202149,149.0731929444902,,,,,,,,,,,,
14,DOWN,11.333224858848979,8221.86,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,,,,160.21497801077052,166.01599506281258,161.59158609042265,166.6191810783656,,,,,,,,,,,,
15,DOWN,9.71572313599944,7974.879999999999,b'swing0001',b'nan',b'nan',b'stance0001',,274.10654152296866,,,,,,,,,,168.27409790983447,29.01756422594019,,,,15.606133163294189,,,,3.7741200422159835,,,,166.57929773719923,166.13412386711724,166.59276810788975,168.0257388403595,,,,,,,,,,47.657570330204955,42.157025026150215,62.72214476739021
16,DOWN,7.15401643029486,7782.87,b'swing0001',b'nan',b'nan',b'stance0001',,274.10654152296866,,,,,,,,,,168.27409790983447,29.01756422594019,,,,15.606133163294189,,,,3.7741200422159835,,,,146.25778566155856,159.8860359707117,146.63213944262148,177.84044918860022,,,,,,,,,,47.657570330204955,42.157025026150215,62.72214476739021
17,DOWN,6.97537154430546,8133.745,b'swing0001',b'swing0001',b'stance0001',b'stance0001',427.039337210932,274.10654152296866,,,,,,,,,134.87503825727038,168.27409790983447,29.01756422594019,43.37018891407821,,,15.606133163294189,17.22588485069835,,,3.7741200422159835,78.14665110980926,,,147.62341689208245,179.25988908954722,134.62171919947932,167.58330570697325,,,,,,,46.157382779729595,50.28034318032474,69.5056428727545,47.657570330204955,42.157025026150215,62.72214476739021
18,DOWN,6.776538274295689,8069.1,b'swing0001',b'swing0001',b'stance0001',b'stance0001',427.039337210932,274.10654152296866,,,,,,,,,134.87503825727038,168.27409790983447,29.01756422594019,43.37018891407821,,,15.606133163294189,17.22588485069835,,,3.7741200422159835,78.14665110980926,,,152.86997662392162,166.91534376815318,153.24231313935383,164.898664858184,,,,,,,46.157382779729595,50.28034318032474,69.5056428727545,47.657570330204955,42.157025026150215,62.72214476739021
19,DOWN,7.449434327413343,7813.275,b'swing0001',b'swing0001',b'stance0001',b'stance0001',427.039337210932,274.10654152296866,,,,,,,,,134.87503825727038,168.27409790983447,29.01756422594019,43.37018891407821,,,15.606133163294189,17.22588485069835,,,3.7741200422159835,78.14665110980926,,,157.12292703949043,170.4392799863596,157.79516205592785,171.87218779579868,,,,,,,46.157382779729595,50.28034318032474,69.5056428727545,47.657570330204955,42.157025026150215,62.72214476739021
20,DOWN,9.408610116494629,7661.77,b'swing0001',b'swing0001',b'stance0001',b'stance0001',427.039337210932,274.10654152296866,,,,,,,,,134.87503825727038,168.27409790983447,29.01756422594019,43.37018891407821,,,15.606133163294189,17.22588485069835,,,3.7741200422159835,78.14665110980926,,,147.97596076979477,175.35119824533967,170.243775602122,179.02142471059685,,,,,,,46.157382779729595,50.28034318032474,69.5056428727545,47.657570330204955,42.157025026150215,62.72214476739021
21,DOWN,9.923197385382934,7122.415,b'swing0001',b'swing0001',b'stance0001',b'stance0001',427.039337210932,274.10654152296866,,,,,,,,,134.87503825727038,168.27409790983447,29.01756422594019,43.37018891407821,,,15.606133163294189,17.22588485069835,,,3.7741200422159835,78.14665110980926,,,155.9060988307416,158.4828103137467,166.76455563579106,164.8993769816288,,,,,,,46.157382779729595,50.28034318032474,69.5056428727545,47.657570330204955,42.157025026150215,62.72214476739021
22,DOWN,9.899638046029509,7033.84,b'swing0001',b'swing0001',b'stance0001',b'stance0001',427.039337210932,274.10654152296866,,,,,,,,,134.87503825727038,168.27409790983447,29.01756422594019,43.37018891407821,,,15.606133163294189,17.22588485069835,,,3.7741200422159835,78.14665110980926,,,166.03157986075655,148.4286459251178,178.36412234697673,,,,,,,,46.157382779729595,50.28034318032474,69.5056428727545,47.657570330204955,42.157025026150215,62.72214476739021
