,direction_of_climbing,body_deflection_angle,speed_PXperS,stepphase_FL,stepphase_FR,stepphase_HR,stepphase_HL,dynamics_FL,dynamics_FR,dynamics_HR,dynamics_HL,mid_stance_wrist_angles_mean_FL,mid_stance_wrist_angles_mean_FR,mid_stance_wrist_angles_mean_HR,mid_stance_wrist_angles_mean_HL,limbROM_FL,limbROM_FR,limbROM_HR,limbROM_HL,spineROM_FL,spineROM_FR,spineROM_HR,spineROM_HL,CROM_FL,CROM_FR,CROM_HR,CROM_HL,shoulder_angle_FL,shoulder_angle_FR,shoulder_angle_HR,shoulder_angle_HL,mid_stance_toe_angles_mean_fl_ti-fl_ti1,mid_stance_toe_angles_mean_fl_ti1-fl_to1,mid_stance_toe_angles_mean_fl_to1-fl_to,mid_stance_toe_angles_mean_fr_ti-fr_ti1,mid_stance_toe_angles_mean_fr_ti1-fr_to1,mid_stance_toe_angles_mean_fr_to1-fr_to,mid_stance_toe_angles_mean_hr_ti-hr_ti1,mid_stance_toe_angles_mean_hr_ti1-hr_to1,mid_stance_toe_angles_mean_hr_to1-hr_to,mid_stance_toe_angles_mean_hl_ti-hl_ti1,mid_stance_toe_angles_mean_hl_ti1-hl_to1,mid_stance_toe_angles_mean_hl_to1-hl_to
0,UP,,3013.67,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,136.59528877231105,,,,,,,,,,,,,,
1,UP,,3013.67,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,140.45470298661587,160.30643981552612,,,,,,,,,,,,,,
2,UP,,2911.79,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,131.40570739577083,161.53958649501703,,,,,,,,,,,,,,
3,UP,,3209.23,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,166.6607937702656,,,,,,,,,,,,,,
4,UP,,2566.39,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,169.46191469964702,,,,,,,,,,,,,,
5,UP,,3281.45,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,160.6770674847329,,,,,,,,,,,,,,
6,UP,,2982.06,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,154.4355863064859,,,,,,,,,,,,,,
7,UP,,1946.02,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,131.73572139382597,145.58637356497408,,,,,,,,,,,,,,
8,UP,17.318606750890908,3180.465,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,148.28002444318588,152.5948867868372,171.64471514982495,163.8115438648232,,,,,,,,,,,,
9,UP,18.978005380285172,3622.605,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,146.46307477084417,142.32069863482013,167.56353621923074,176.2457937893234,,,,,,,,,,,,
10,UP,17.811963374492954,3051.785,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,152.46526387854257,142.08849137120936,164.49325079724184,171.87664391747518,,,,,,,,,,,,
11,UP,16.634400117489058,3383.825,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,162.17668160773079,141.17095507683723,165.0857824535675,164.57958208780227,,,,,,,,,,,,
