,direction_of_climbing,body_deflection_angle,speed_PXperS,stepphase_FL,stepphase_FR,stepphase_HR,stepphase_HL,dynamics_FL,dynamics_FR,dynamics_HR,dynamics_HL,mid_stance_wrist_angles_mean_FL,mid_stance_wrist_angles_mean_FR,mid_stance_wrist_angles_mean_HR,mid_stance_wrist_angles_mean_HL,limbROM_FL,limbROM_FR,limbROM_HR,limbROM_HL,spineROM_FL,spineROM_FR,spineROM_HR,spineROM_HL,CROM_FL,CROM_FR,CROM_HR,CROM_HL,shoulder_angle_FL,shoulder_angle_FR,shoulder_angle_HR,shoulder_angle_HL,mid_stance_toe_angles_mean_fl_ti-fl_ti1,mid_stance_toe_angles_mean_fl_ti1-fl_to1,mid_stance_toe_angles_mean_fl_to1-fl_to,mid_stance_toe_angles_mean_fr_ti-fr_ti1,mid_stance_toe_angles_mean_fr_ti1-fr_to1,mid_stance_toe_angles_mean_fr_to1-fr_to,mid_stance_toe_angles_mean_hr_ti-hr_ti1,mid_stance_toe_angles_mean_hr_ti1-hr_to1,mid_stance_toe_angles_mean_hr_to1-hr_to,mid_stance_toe_angles_mean_hl_ti-hl_ti1,mid_stance_toe_angles_mean_hl_ti1-hl_to1,mid_stance_toe_angles_mean_hl_to1-hl_to
0,UP,,4948.66,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,UP,,4948.66,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,UP,,5907.38,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,UP,,5740.2,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,UP,,5739.67,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,UP,,5715.42,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,UP,,5123.92,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,172.67380932365336,,,,,,,,,,,,,,
7,UP,,5299.12,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,148.2467496589032,175.16638852365926,,,,,,,,,,,,,,
8,UP,,4710.63,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,142.29888146349762,161.84773274114207,,,,,,,,,,,,,,
9,UP,,4884.9,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,156.23632645162868,157.44346828337657,,,,,,,,,,,,,,
10,UP,,4904.65,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,151.2999154835785,148.95285375980845,,,,,,,,,,,,,,
11,UP,,4564.21,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,171.719021074887,162.16004348823876,,,,,,,,,,,,,,
12,UP,,4660.625,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,177.53033521014632,135.52021736606508,,,,,,,,,,,,,,
13,UP,9.0023358804474,4657.71,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,173.6607271973474,136.64969846882488,,144.44449792240476,,,,,,,,,,,,
14,UP,12.778124755060162,4734.745000000001,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,170.86404450598545,159.491329288269,166.58986384721553,151.0382054719016,,,,,,,,,,,,
15,UP,13.958677419113254,3898.44,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,162.34642130508533,149.83375710913003,158.86110737544908,149.37584760314857,,,,,,,,,,,,
16,UP,16.155772785424176,4415.67,b'nan',b'nan',b'stance0001',b'swing0001',,,,,,,121.9475349111981,,,,,,,,,,,,,,155.41119576310822,140.45631721343997,176.78079297788685,145.48915555527404,,,,,,,37.40107782656103,55.926655686247074,73.70706509112044,,,
17,UP,15.445079251600212,4255.24,b'stance0001',b'nan',b'stance0001',b'swing0001',,,,,110.03624312307956,,121.9475349111981,,,,,,,,,,,,,,148.05497285996873,153.51374151598614,179.88409352678,155.28886060025997,24.94595265641585,48.60678670309009,62.85727111887338,,,,37.40107782656103,55.926655686247074,73.70706509112044,,,
18,UP,13.860486307676563,4897.68,b'stance0001',b'nan',b'stance0001',b'swing0001',,,,,110.03624312307956,,121.9475349111981,,,,,,,,,,,,,,137.74412967569248,158.31193915771993,176.67517126883976,170.2638266049466,24.94595265641585,48.60678670309009,62.85727111887338,,,,37.40107782656103,55.926655686247074,73.70706509112044,,,
