,direction_of_climbing,body_deflection_angle,speed_PXperS,stepphase_FL,stepphase_FR,stepphase_HR,stepphase_HL,dynamics_FL,dynamics_FR,dynamics_HR,dynamics_HL,mid_stance_wrist_angles_mean_FL,mid_stance_wrist_angles_mean_FR,mid_stance_wrist_angles_mean_HR,mid_stance_wrist_angles_mean_HL,limbROM_FL,limbROM_FR,limbROM_HR,limbROM_HL,spineROM_FL,spineROM_FR,spineROM_HR,spineROM_HL,CROM_FL,CROM_FR,CROM_HR,CROM_HL,shoulder_angle_FL,shoulder_angle_FR,shoulder_angle_HR,shoulder_angle_HL,mid_stance_toe_angles_mean_fl_ti-fl_ti1,mid_stance_toe_angles_mean_fl_ti1-fl_to1,mid_stance_toe_angles_mean_fl_to1-fl_to,mid_stance_toe_angles_mean_fr_ti-fr_ti1,mid_stance_toe_angles_mean_fr_ti1-fr_to1,mid_stance_toe_angles_mean_fr_to1-fr_to,mid_stance_toe_angles_mean_hr_ti-hr_ti1,mid_stance_toe_angles_mean_hr_ti1-hr_to1,mid_stance_toe_angles_mean_hr_to1-hr_to,mid_stance_toe_angles_mean_hl_ti-hl_ti1,mid_stance_toe_angles_mean_hl_ti1-hl_to1,mid_stance_toe_angles_mean_hl_to1-hl_to
0,UP,,56.72,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,150.72275594247128,154.53208079074312,,,,,,,,,,,,,,
1,UP,,56.72,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,152.15840373992032,156.7542415184965,,,,,,,,,,,,,,
2,UP,,10.07,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,150.1154041335357,157.78530026939936,,,,,,,,,,,,,,
3,UP,,18.21,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,151.4475007337679,156.21284371340633,,,,,,,,,,,,,,
4,UP,,53.75,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,151.58593916840874,158.72541347869995,,,,,,,,,,,,,,
5,UP,,48.75,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,149.01791624922146,156.0305668933497,,,,,,,,,,,,,,
6,UP,,38.79,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,150.81815046899516,156.13820549575138,,,,,,,,,,,,,,
7,UP,,24.77,b'nan',b'nan',b'stance0001',b'stance0001',,,,,,,,,,,,,,,,,,,,,149.56400899296048,156.76790158301785,,,,,,,,,50.095388619444485,79.06822016095879,47.8760710129962,46.492484941398175,63.750427946300896,88.17252308224654
8,UP,,17.88,b'swing0001',b'nan',b'stance0001',b'stance0001',,,,,,,,,,,,,,,,,,,,,150.97291813133015,155.71046327502805,,,,,,,,,50.095388619444485,79.06822016095879,47.8760710129962,46.492484941398175,63.750427946300896,88.17252308224654
9,UP,,68.62,b'swing0001',b'nan',b'stance0001',b'stance0001',,,,,,,,,,,,,,,,,,,,,150.68860303066762,158.02231607198163,,,,,,,,,50.095388619444485,79.06822016095879,47.8760710129962,46.492484941398175,63.750427946300896,88.17252308224654
