,direction_of_climbing,body_deflection_angle,speed_PXperS,stepphase_FL,stepphase_FR,stepphase_HR,stepphase_HL,step-length_FR,step-length_FL,step-length_HR,step-length_HL,dynamics_FL,dynamics_FR,dynamics_HR,dynamics_HL,mid_stance_wrist_angles_mean_FL,mid_stance_wrist_angles_mean_FR,mid_stance_wrist_angles_mean_HR,mid_stance_wrist_angles_mean_HL,limbROM_FL,limbROM_FR,limbROM_HR,limbROM_HL,spineROM_FL,spineROM_FR,spineROM_HR,spineROM_HL,CROM_FL,CROM_FR,CROM_HR,CROM_HL,shoulder_angle_FL,shoulder_angle_FR,shoulder_angle_HR,shoulder_angle_HL,mid_stance_toe_angles_mean_fl_ti-fl_ti1,mid_stance_toe_angles_mean_fl_ti1-fl_tm,mid_stance_toe_angles_mean_fl_tm-fl_to1,mid_stance_toe_angles_mean_fr_ti-fr_ti1,mid_stance_toe_angles_mean_fr_ti1-fr_tm,mid_stance_toe_angles_mean_fr_tm-fr_to1,mid_stance_toe_angles_mean_hr_ti-hr_ti1,mid_stance_toe_angles_mean_hr_ti1-hr_tm,mid_stance_toe_angles_mean_hr_tm-hr_to1,mid_stance_toe_angles_mean_hl_ti-hl_ti1,mid_stance_toe_angles_mean_hl_ti1-hl_tm,mid_stance_toe_angles_mean_hl_tm-hl_to1
25,DOWN,,398.51,b'stance0001',b'swing0001',b'stance0001',b'stance0001',4.39521354168262,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.83640704598533,1.0832723729468903,1.7045991951962067,,,,60.88821533708535,4.371877486393306,32.63075271799997,52.18280004230869,5.410346191020429,39.34843199553327
26,DOWN,,1401.47,b'stance0001',b'swing0001',b'stance0001',b'stance0001',4.39521354168262,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.83640704598533,1.0832723729468903,1.7045991951962067,,,,60.88821533708535,4.371877486393306,32.63075271799997,52.18280004230869,5.410346191020429,39.34843199553327
27,DOWN,,600.7,b'stance0001',b'swing0001',b'stance0001',b'stance0001',4.39521354168262,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.83640704598533,1.0832723729468903,1.7045991951962067,,,,60.88821533708535,4.371877486393306,32.63075271799997,52.18280004230869,5.410346191020429,39.34843199553327
28,DOWN,,728.02,b'stance0001',b'swing0001',b'stance0001',b'stance0001',4.39521354168262,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.83640704598533,1.0832723729468903,1.7045991951962067,,,,60.88821533708535,4.371877486393306,32.63075271799997,52.18280004230869,5.410346191020429,39.34843199553327
29,DOWN,,558.05,b'stance0001',b'swing0001',b'stance0001',b'stance0001',4.39521354168262,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.83640704598533,1.0832723729468903,1.7045991951962067,,,,60.88821533708535,4.371877486393306,32.63075271799997,52.18280004230869,5.410346191020429,39.34843199553327
30,DOWN,,562.85,b'swing0001',b'swing0001',b'stance0001',b'stance0001',4.39521354168262,5.162584506297503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.88821533708535,4.371877486393306,32.63075271799997,52.18280004230869,5.410346191020429,39.34843199553327
31,DOWN,,758.68,b'swing0001',b'swing0001',b'stance0001',b'stance0001',4.39521354168262,5.162584506297503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.88821533708535,4.371877486393306,32.63075271799997,52.18280004230869,5.410346191020429,39.34843199553327
32,DOWN,,402.91,b'swing0001',b'swing0001',b'stance0001',b'stance0001',4.39521354168262,5.162584506297503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.88821533708535,4.371877486393306,32.63075271799997,52.18280004230869,5.410346191020429,39.34843199553327
33,DOWN,,594.33,b'swing0001',b'swing0001',b'stance0001',b'stance0001',4.39521354168262,5.162584506297503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.88821533708535,4.371877486393306,32.63075271799997,52.18280004230869,5.410346191020429,39.34843199553327
34,DOWN,,478.5,b'swing0001',b'swing0001',b'stance0001',b'stance0001',4.39521354168262,5.162584506297503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.88821533708535,4.371877486393306,32.63075271799997,52.18280004230869,5.410346191020429,39.34843199553327
35,DOWN,,274.44,b'swing0001',b'swing0001',b'swing0002',b'swing0002',4.39521354168262,5.162584506297503,3.9039621786951297,0.6785540859191612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,DOWN,,674.8,b'swing0001',b'swing0001',b'swing0002',b'swing0002',4.39521354168262,5.162584506297503,3.9039621786951297,0.6785540859191612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,DOWN,,210.32,b'swing0001',b'swing0001',b'swing0002',b'swing0002',4.39521354168262,5.162584506297503,3.9039621786951297,0.6785540859191612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,DOWN,,671.15,b'swing0001',b'stance0002',b'swing0002',b'swing0002',,5.162584506297503,3.9039621786951297,0.6785540859191612,,,,,,170.49841966412745,,,,,,,,,,,,,,,,,,,,,,16.40593451047877,32.12552570736738,24.000493731950513,,,,,,
39,DOWN,,256.65,b'swing0001',b'stance0002',b'swing0002',b'swing0002',,5.162584506297503,3.9039621786951297,0.6785540859191612,,,,,,170.49841966412745,,,,,,,,,,,,,,,,,,,,,,16.40593451047877,32.12552570736738,24.000493731950513,,,,,,
40,DOWN,,504.77,b'swing0001',b'stance0002',b'swing0002',b'swing0002',,5.162584506297503,3.9039621786951297,0.6785540859191612,,,,,,170.49841966412745,,,,,,,,,,,,,,,,,,,,,,16.40593451047877,32.12552570736738,24.000493731950513,,,,,,
41,DOWN,,501.74,b'stance0002',b'stance0002',b'swing0002',b'swing0002',,,3.9039621786951297,0.6785540859191612,,,,,,170.49841966412745,,,,,,,,,,,,,,,,,,,30.14985711705795,2.411462173745184,1.4367557615801234,16.40593451047877,32.12552570736738,24.000493731950513,,,,,,
42,DOWN,,418.72,b'stance0002',b'stance0002',b'swing0002',b'swing0002',,,3.9039621786951297,0.6785540859191612,,,,,,170.49841966412745,,,,,,,,,,,,,,,,,,,30.14985711705795,2.411462173745184,1.4367557615801234,16.40593451047877,32.12552570736738,24.000493731950513,,,,,,
43,DOWN,,657.66,b'stance0002',b'stance0002',b'swing0002',b'swing0002',,,3.9039621786951297,0.6785540859191612,,,,,,170.49841966412745,,,,,,,,,,,,,,,,,,,30.14985711705795,2.411462173745184,1.4367557615801234,16.40593451047877,32.12552570736738,24.000493731950513,,,,,,
44,DOWN,,415.95,b'stance0002',b'stance0002',b'swing0002',b'swing0002',,,3.9039621786951297,0.6785540859191612,,,,,,170.49841966412745,,,,,,,,,,,,,,,,,,,30.14985711705795,2.411462173745184,1.4367557615801234,16.40593451047877,32.12552570736738,24.000493731950513,,,,,,
45,DOWN,,674.95,b'stance0002',b'stance0002',b'swing0002',b'swing0002',,,3.9039621786951297,0.6785540859191612,,,,,,170.49841966412745,,,,,,,,,,,,,,,,,,,30.14985711705795,2.411462173745184,1.4367557615801234,16.40593451047877,32.12552570736738,24.000493731950513,,,,,,
46,DOWN,,822.5,b'stance0002',b'stance0002',b'stance0002',b'stance0002',,,,,,,,,,170.49841966412745,,,,,,,,,,,,,,,,,,,30.14985711705795,2.411462173745184,1.4367557615801234,16.40593451047877,32.12552570736738,24.000493731950513,58.08303099189089,7.357346863094281,32.06187329571114,34.46423660491407,4.931326759052747,24.512268182773052
47,DOWN,,525.21,b'stance0002',b'stance0002',b'stance0002',b'stance0002',,,,,,,,,,170.49841966412745,,,,,,,,,,,,,,,,,,,30.14985711705795,2.411462173745184,1.4367557615801234,16.40593451047877,32.12552570736738,24.000493731950513,58.08303099189089,7.357346863094281,32.06187329571114,34.46423660491407,4.931326759052747,24.512268182773052
48,DOWN,,936.51,b'stance0002',b'stance0002',b'stance0002',b'stance0002',,,,,,,,,,170.49841966412745,,,,,,,,,,,,,,,,,,,30.14985711705795,2.411462173745184,1.4367557615801234,16.40593451047877,32.12552570736738,24.000493731950513,58.08303099189089,7.357346863094281,32.06187329571114,34.46423660491407,4.931326759052747,24.512268182773052
49,DOWN,,758.78,b'stance0002',b'stance0002',b'stance0002',b'stance0002',,,,,,,,,,170.49841966412745,,,,,,,,,,,,,,,,,,,30.14985711705795,2.411462173745184,1.4367557615801234,16.40593451047877,32.12552570736738,24.000493731950513,58.08303099189089,7.357346863094281,32.06187329571114,34.46423660491407,4.931326759052747,24.512268182773052
50,DOWN,,1025.55,b'stance0002',b'stance0002',b'stance0002',b'stance0002',,,,,,,,,,170.49841966412745,,,,,,,,,,,,,,,,,,,30.14985711705795,2.411462173745184,1.4367557615801234,16.40593451047877,32.12552570736738,24.000493731950513,58.08303099189089,7.357346863094281,32.06187329571114,34.46423660491407,4.931326759052747,24.512268182773052
51,DOWN,,791.49,b'stance0002',b'stance0002',b'stance0002',b'stance0002',,,,,,,,,,170.49841966412745,,,,,,,,,,,,,,,,,,,30.14985711705795,2.411462173745184,1.4367557615801234,16.40593451047877,32.12552570736738,24.000493731950513,58.08303099189089,7.357346863094281,32.06187329571114,34.46423660491407,4.931326759052747,24.512268182773052
52,DOWN,,518.45,b'stance0002',b'stance0002',b'stance0002',b'stance0002',,,,,,,,,,170.49841966412745,,,,,,,,,,,,,,,,,,,30.14985711705795,2.411462173745184,1.4367557615801234,16.40593451047877,32.12552570736738,24.000493731950513,58.08303099189089,7.357346863094281,32.06187329571114,34.46423660491407,4.931326759052747,24.512268182773052
53,DOWN,,469.77,b'swing0002',b'stance0002',b'stance0002',b'stance0002',,3.666430009906669,,,,,,,,170.49841966412745,,,,,,,,,,,,,,,,,,,,,,16.40593451047877,32.12552570736738,24.000493731950513,58.08303099189089,7.357346863094281,32.06187329571114,34.46423660491407,4.931326759052747,24.512268182773052
54,DOWN,,836.22,b'swing0002',b'stance0002',b'stance0002',b'stance0002',,3.666430009906669,,,,,,,,170.49841966412745,,,,,,,,,,,,,,,,,,,,,,16.40593451047877,32.12552570736738,24.000493731950513,58.08303099189089,7.357346863094281,32.06187329571114,34.46423660491407,4.931326759052747,24.512268182773052
55,DOWN,,1087.37,b'swing0002',b'stance0002',b'stance0002',b'stance0002',,3.666430009906669,,,,,,,,170.49841966412745,,,,,,,,,,,,,,,,,,,,,,16.40593451047877,32.12552570736738,24.000493731950513,58.08303099189089,7.357346863094281,32.06187329571114,34.46423660491407,4.931326759052747,24.512268182773052
56,DOWN,,917.87,b'swing0002',b'stance0002',b'stance0002',b'stance0002',,3.666430009906669,,,,,,,,170.49841966412745,,,,,,,,,,,,,,,,,,,,,,16.40593451047877,32.12552570736738,24.000493731950513,58.08303099189089,7.357346863094281,32.06187329571114,34.46423660491407,4.931326759052747,24.512268182773052
57,DOWN,,407.48,b'swing0002',b'stance0002',b'swing0003',b'swing0003',,3.666430009906669,76.36376402154619,239.40089001200116,,,,,,170.49841966412745,,,,,,,,,,,,,,,,,,,,,,16.40593451047877,32.12552570736738,24.000493731950513,,,,,,
58,DOWN,,1020.95,b'swing0002',b'stance0002',b'swing0003',b'swing0003',,3.666430009906669,76.36376402154619,239.40089001200116,,,,,,170.49841966412745,,,,,,,,,,,,,,,,,,,,,,16.40593451047877,32.12552570736738,24.000493731950513,,,,,,
59,DOWN,,717.06,b'swing0002',b'swing0002',b'swing0003',b'swing0003',24.173433642263447,3.666430009906669,76.36376402154619,239.40089001200116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,DOWN,,820.88,b'swing0002',b'swing0002',b'swing0003',b'swing0003',24.173433642263447,3.666430009906669,76.36376402154619,239.40089001200116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,DOWN,,1405.61,b'swing0002',b'swing0002',b'swing0003',b'swing0003',24.173433642263447,3.666430009906669,76.36376402154619,239.40089001200116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,DOWN,,1235.06,b'swing0002',b'swing0002',b'swing0003',b'swing0003',24.173433642263447,3.666430009906669,76.36376402154619,239.40089001200116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,DOWN,,527.57,b'swing0002',b'swing0002',b'swing0003',b'swing0003',24.173433642263447,3.666430009906669,76.36376402154619,239.40089001200116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,DOWN,,2503.17,b'swing0002',b'swing0002',b'swing0003',b'swing0003',24.173433642263447,3.666430009906669,76.36376402154619,239.40089001200116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,DOWN,,912.96,b'stance0003',b'swing0002',b'swing0003',b'swing0003',24.173433642263447,,76.36376402154619,239.40089001200116,,,,,83.04092716440148,,,,,,,,,,,,,,,,,,,,19.533394023383114,15.153773712474809,15.005194417286447,,,,,,,,,
66,DOWN,,2199.3,b'stance0003',b'swing0002',b'swing0003',b'swing0003',24.173433642263447,,76.36376402154619,239.40089001200116,,,,,83.04092716440148,,,,,,,,,,,,,,,,,,,,19.533394023383114,15.153773712474809,15.005194417286447,,,,,,,,,
67,DOWN,,1981.19,b'stance0003',b'swing0002',b'swing0003',b'swing0003',24.173433642263447,,76.36376402154619,239.40089001200116,,,,,83.04092716440148,,,,,,,,,,,,,,,,,,,,19.533394023383114,15.153773712474809,15.005194417286447,,,,,,,,,
68,DOWN,,1078.12,b'stance0003',b'swing0002',b'swing0003',b'swing0003',24.173433642263447,,76.36376402154619,239.40089001200116,,,,,83.04092716440148,,,,,,,,,,,,,,,,149.2230925542103,,,,19.533394023383114,15.153773712474809,15.005194417286447,,,,,,,,,
69,DOWN,,1459.23,b'stance0003',b'swing0002',b'swing0003',b'swing0003',24.173433642263447,,76.36376402154619,239.40089001200116,,,,,83.04092716440148,,,,,,,,,,,,,,,,163.22904432436712,,,,19.533394023383114,15.153773712474809,15.005194417286447,,,,,,,,,
70,DOWN,,1962.88,b'stance0003',b'swing0002',b'swing0003',b'swing0003',24.173433642263447,,76.36376402154619,239.40089001200116,,,,,83.04092716440148,,,,,,,,,,,,,,,,170.68451024985856,,,,19.533394023383114,15.153773712474809,15.005194417286447,,,,,,,,,
71,DOWN,,1363.77,b'stance0003',b'swing0002',b'swing0003',b'swing0003',24.173433642263447,,76.36376402154619,239.40089001200116,,,,,83.04092716440148,,,,,,,,,,,,,,,,162.4874872619173,,,,19.533394023383114,15.153773712474809,15.005194417286447,,,,,,,,,
72,DOWN,,2033.81,b'stance0003',b'swing0002',b'swing0003',b'swing0003',24.173433642263447,,76.36376402154619,239.40089001200116,,,,,83.04092716440148,,,,,,,,,,,,,,,,168.55936768165077,134.3834314380753,,,19.533394023383114,15.153773712474809,15.005194417286447,,,,,,,,,
73,DOWN,,1600.87,b'stance0003',b'swing0002',b'swing0003',b'swing0003',24.173433642263447,,76.36376402154619,239.40089001200116,,,,,83.04092716440148,,,,,,,,,,,,,,,,163.42240874608356,135.0146092124959,,,19.533394023383114,15.153773712474809,15.005194417286447,,,,,,,,,
74,DOWN,,663.59,b'stance0003',b'swing0002',b'swing0003',b'swing0003',24.173433642263447,,76.36376402154619,239.40089001200116,,,,,83.04092716440148,,,,,,,,,,,,,,,,167.6860639421891,132.43709107461711,,,19.533394023383114,15.153773712474809,15.005194417286447,,,,,,,,,
75,DOWN,,1084.34,b'stance0003',b'swing0002',b'swing0003',b'swing0003',24.173433642263447,,76.36376402154619,239.40089001200116,,,,,83.04092716440148,,,,,,,,,,,,,,,,178.104273365006,132.1629459064782,,,19.533394023383114,15.153773712474809,15.005194417286447,,,,,,,,,
76,DOWN,,791.83,b'stance0003',b'swing0002',b'swing0003',b'swing0003',24.173433642263447,,76.36376402154619,239.40089001200116,,,,,83.04092716440148,,,,,,,,,,,,,,,,173.83754734070047,132.2837861314596,,,19.533394023383114,15.153773712474809,15.005194417286447,,,,,,,,,
77,DOWN,,530.81,b'stance0003',b'swing0002',b'swing0003',b'swing0003',24.173433642263447,,76.36376402154619,239.40089001200116,,,,,83.04092716440148,,,,,,,,,,,,,,,,178.04478946518734,132.36184249306447,,,19.533394023383114,15.153773712474809,15.005194417286447,,,,,,,,,
78,DOWN,,738.04,b'stance0003',b'swing0002',b'swing0003',b'swing0003',24.173433642263447,,76.36376402154619,239.40089001200116,,,,,83.04092716440148,,,,,,,,,,,,,,,,171.26059207972384,134.48177453733533,,,19.533394023383114,15.153773712474809,15.005194417286447,,,,,,,,,
79,DOWN,,501.58,b'stance0003',b'swing0002',b'swing0003',b'swing0003',24.173433642263447,,76.36376402154619,239.40089001200116,,,,,83.04092716440148,,,,,,,,,,,,,,,,173.1575155350989,132.08443378577786,,,19.533394023383114,15.153773712474809,15.005194417286447,,,,,,,,,
80,DOWN,,1120.5,b'stance0003',b'swing0002',b'swing0003',b'swing0003',24.173433642263447,,76.36376402154619,239.40089001200116,,,,,83.04092716440148,,,,,,,,,,,,,,,,168.52691936408098,131.04328367710878,,,19.533394023383114,15.153773712474809,15.005194417286447,,,,,,,,,
81,DOWN,,657.6,b'stance0003',b'swing0002',b'swing0003',b'swing0003',24.173433642263447,,76.36376402154619,239.40089001200116,,,,,83.04092716440148,,,,,,,,,,,,,,,,160.43333054351066,132.4930554587982,,,19.533394023383114,15.153773712474809,15.005194417286447,,,,,,,,,
82,DOWN,,805.01,b'stance0003',b'swing0002',b'swing0003',b'swing0003',24.173433642263447,,76.36376402154619,239.40089001200116,,,,,83.04092716440148,,,,,,,,,,,,,,,,152.96088646966516,131.98526895360493,,,19.533394023383114,15.153773712474809,15.005194417286447,,,,,,,,,
83,DOWN,,458.16,b'stance0003',b'swing0002',b'swing0003',b'swing0003',24.173433642263447,,76.36376402154619,239.40089001200116,,,,,83.04092716440148,,,,,,,,,,,,,,,,152.45228226335993,131.7645091806353,,,19.533394023383114,15.153773712474809,15.005194417286447,,,,,,,,,
84,DOWN,,1138.0,b'swing0003',b'swing0002',b'swing0003',b'swing0003',24.173433642263447,123.67191783251518,76.36376402154619,239.40089001200116,,,,,,,,,73.79177076706549,,,,143.16756061234938,,,,,,,,151.91079920229737,140.63394605855436,,,,,,,,,,,,,,
85,DOWN,,1190.93,b'swing0003',b'swing0002',b'swing0003',b'swing0003',24.173433642263447,123.67191783251518,76.36376402154619,239.40089001200116,,,,,,,,,73.79177076706549,,,,143.16756061234938,,,,,,,,149.75524182257047,149.0895456619347,,,,,,,,,,,,,,
