,direction_of_climbing,body_deflection_angle,speed_PXperS,stepphase_FL,stepphase_FR,stepphase_HR,stepphase_HL,step-length_FR,step-length_FL,step-length_HR,step-length_HL,dynamics_FL,dynamics_FR,dynamics_HR,dynamics_HL,mid_stance_wrist_angles_mean_FL,mid_stance_wrist_angles_mean_FR,mid_stance_wrist_angles_mean_HR,mid_stance_wrist_angles_mean_HL,limbROM_FL,limbROM_FR,limbROM_HR,limbROM_HL,spineROM_FL,spineROM_FR,spineROM_HR,spineROM_HL,CROM_FL,CROM_FR,CROM_HR,CROM_HL,shoulder_angle_FL,shoulder_angle_FR,shoulder_angle_HR,shoulder_angle_HL,mid_stance_toe_angles_mean_fl_ti-fl_ti1,mid_stance_toe_angles_mean_fl_ti1-fl_tm,mid_stance_toe_angles_mean_fl_tm-fl_to1,mid_stance_toe_angles_mean_fr_ti-fr_ti1,mid_stance_toe_angles_mean_fr_ti1-fr_tm,mid_stance_toe_angles_mean_fr_tm-fr_to1,mid_stance_toe_angles_mean_hr_ti-hr_ti1,mid_stance_toe_angles_mean_hr_ti1-hr_tm,mid_stance_toe_angles_mean_hr_tm-hr_to1,mid_stance_toe_angles_mean_hl_ti-hl_ti1,mid_stance_toe_angles_mean_hl_ti1-hl_tm,mid_stance_toe_angles_mean_hl_tm-hl_to1
24,DOWN,,1549.9450000000002,b'nan',b'swing0001',b'nan',b'swing0001',221.38158452493772,,,335.60331237116617,,,,,,,,,,49.80520495274058,,,,88.61742352781033,,,,,,,135.61366072247984,136.35670818172065,,,,,,,,,,,,,,
25,DOWN,15.391646807783275,1897.09,b'stance0001',b'swing0001',b'nan',b'swing0001',221.38158452493772,,,335.60331237116617,,,,,,,,,,49.80520495274058,,,,88.61742352781033,,,,,,,139.9492313575024,139.81151691024897,159.591119556492,21.340684879559888,33.42881600749009,18.797226606503973,2.5751608232447714,,,,,,,,,
26,DOWN,13.549034469512605,2496.6850000000004,b'stance0001',b'swing0001',b'nan',b'swing0001',221.38158452493772,,,335.60331237116617,,,,,,,,,,49.80520495274058,,,,88.61742352781033,,,,,,,145.62902336690382,131.69946771435275,162.20315464067014,,33.42881600749009,18.797226606503973,2.5751608232447714,,,,,,,,,
27,DOWN,13.612387595987542,2103.16,b'stance0001',b'swing0001',b'nan',b'swing0001',221.38158452493772,,,335.60331237116617,,,,,,,,,,49.80520495274058,,,,88.61742352781033,,,,,,,152.8836209140342,139.19170775765417,163.72734798886816,,33.42881600749009,18.797226606503973,2.5751608232447714,,,,,,,,,
28,DOWN,12.568753546592546,1565.0349999999999,b'stance0001',b'swing0001',b'nan',b'swing0001',221.38158452493772,,,335.60331237116617,,,,,,,,,,49.80520495274058,,,,88.61742352781033,,,,,,,142.02461068043505,140.532064360496,162.62279195121778,,33.42881600749009,18.797226606503973,2.5751608232447714,,,,,,,,,
29,DOWN,11.241929937668885,1933.585,b'stance0001',b'swing0001',b'nan',b'swing0001',221.38158452493772,,,335.60331237116617,,,,,,,,,,49.80520495274058,,,,88.61742352781033,,,,,,,140.98388832532652,144.76502135077317,148.15238934929377,,33.42881600749009,18.797226606503973,2.5751608232447714,,,,,,,,,
30,DOWN,10.337457517858951,1980.6,b'stance0001',b'swing0001',b'nan',b'swing0001',221.38158452493772,,,335.60331237116617,,,,,,,,,,49.80520495274058,,,,88.61742352781033,,,,,,,140.07448622474493,142.8016287480644,,,33.42881600749009,18.797226606503973,2.5751608232447714,,,,,,,,,
31,DOWN,,1003.065,b'stance0001',b'swing0001',b'nan',b'swing0001',221.38158452493772,,,335.60331237116617,,,,,,,,,,49.80520495274058,,,,88.61742352781033,,,,,,,144.25566546856098,143.71679864868187,,,33.42881600749009,18.797226606503973,2.5751608232447714,,,,,,,,,
32,DOWN,7.107160537384715,2396.31,b'stance0001',b'swing0001',b'stance0001',b'swing0001',221.38158452493772,,,335.60331237116617,,,,,,,,,,49.80520495274058,,,,88.61742352781033,,,,,,,136.85195020880371,140.57002727928582,35.06596097036305,,33.42881600749009,18.797226606503973,2.5751608232447714,,,,3.0411884384402974,6.39106938493071,3.7587656090924906,,,
33,DOWN,,1546.295,b'stance0001',b'swing0001',b'stance0001',b'swing0001',221.38158452493772,,,335.60331237116617,,,,,,,,,,49.80520495274058,,,,88.61742352781033,,,,,,,140.68644073669475,,,,33.42881600749009,18.797226606503973,2.5751608232447714,,,,3.0411884384402974,6.39106938493071,3.7587656090924906,,,
34,DOWN,4.070620305529701,3412.575,b'stance0001',b'swing0001',b'stance0001',b'swing0001',221.38158452493772,,,335.60331237116617,,,,,,,,,,49.80520495274058,,,,88.61742352781033,,,,,,,144.3266904946827,148.59554444879456,33.4415818970304,,33.42881600749009,18.797226606503973,2.5751608232447714,,,,3.0411884384402974,6.39106938493071,3.7587656090924906,,,
35,DOWN,2.2598170450444854,2435.43,b'stance0001',b'swing0001',b'stance0001',b'swing0001',221.38158452493772,,,335.60331237116617,,,,,,,,,,49.80520495274058,,,,88.61742352781033,,,,,,,144.66654829697575,146.73057726097795,36.018429070485894,163.62246391050377,33.42881600749009,18.797226606503973,2.5751608232447714,,,,3.0411884384402974,6.39106938493071,3.7587656090924906,,,
36,DOWN,0.7882834180539078,2627.485,b'stance0001',b'swing0001',b'stance0001',b'swing0001',221.38158452493772,,,335.60331237116617,,,,,,,,,,49.80520495274058,,,,88.61742352781033,,,,,,,,,56.046273768712,,33.42881600749009,18.797226606503973,2.5751608232447714,,,,3.0411884384402974,6.39106938493071,3.7587656090924906,,,
37,DOWN,1.1013064672865767,3612.085,b'stance0001',b'swing0001',b'stance0001',b'swing0001',221.38158452493772,,,335.60331237116617,,,,,,,,,,49.80520495274058,,,,88.61742352781033,,,,,,,,,58.75989433646248,,33.42881600749009,18.797226606503973,2.5751608232447714,,,,3.0411884384402974,6.39106938493071,3.7587656090924906,,,
38,DOWN,,2647.4,b'stance0001',b'swing0001',b'stance0001',b'swing0001',221.38158452493772,,,335.60331237116617,,,,,,,,,,49.80520495274058,,,,88.61742352781033,,,,,,,,,43.667369401276204,,33.42881600749009,18.797226606503973,2.5751608232447714,,,,3.0411884384402974,6.39106938493071,3.7587656090924906,,,
39,DOWN,3.0682085102558574,2814.37,b'stance0001',b'swing0001',b'stance0001',b'swing0001',221.38158452493772,,,335.60331237116617,,,,,,,,,,49.80520495274058,,,,88.61742352781033,,,,,,,,,53.36697260994957,156.2105912876036,33.42881600749009,18.797226606503973,2.5751608232447714,,,,3.0411884384402974,6.39106938493071,3.7587656090924906,,,
40,DOWN,2.319076429953128,3122.455,b'swing0001',b'swing0001',b'swing0001',b'swing0001',221.38158452493772,125.4631273410775,29.13774896547672,335.60331237116617,24.46145087137787,,,,,,,,,49.80520495274058,,,,88.61742352781033,18.837588091729998,,,,,,,,107.07046397000992,137.69362986443141,,,,,,,,,,,,
41,DOWN,3.893083074150553,2949.925,b'swing0001',b'swing0001',b'swing0001',b'swing0001',221.38158452493772,125.4631273410775,29.13774896547672,335.60331237116617,23.935916999094985,,,,,,,,,49.80520495274058,,,,88.61742352781033,18.837588091729998,,,,,,,,104.50470313204102,139.92571438024046,,,,,,,,,,,,
42,DOWN,,2577.65,b'swing0001',b'swing0001',b'swing0001',b'swing0001',221.38158452493772,125.4631273410775,29.13774896547672,335.60331237116617,,,,,,,,,,49.80520495274058,,,,88.61742352781033,18.837588091729998,,,,,,,,42.18208284667324,140.76984201781298,,,,,,,,,,,,
43,DOWN,,2526.765,b'swing0001',b'swing0001',b'swing0001',b'swing0001',221.38158452493772,125.4631273410775,29.13774896547672,335.60331237116617,,,,,,,,,,49.80520495274058,,,,88.61742352781033,18.837588091729998,,,,,,,,42.35460639555623,,,,,,,,,,,,,
44,DOWN,,2656.05,b'swing0001',b'swing0001',b'swing0001',b'swing0001',221.38158452493772,125.4631273410775,29.13774896547672,335.60331237116617,,,,,,,,,,49.80520495274058,,,,88.61742352781033,18.837588091729998,,,,,,,,41.612386345345726,138.01732085043471,,,,,,,,,,,,
45,DOWN,6.849477462885687,2532.48,b'swing0001',b'swing0001',b'swing0001',b'swing0001',221.38158452493772,125.4631273410775,29.13774896547672,335.60331237116617,24.437725249818957,,,,,,,,,49.80520495274058,,,,88.61742352781033,18.837588091729998,,,,,,,,40.51165971405365,135.8588679101393,,,,,,,,,,,,
46,DOWN,,2177.63,b'swing0001',b'swing0001',b'swing0001',b'swing0001',221.38158452493772,125.4631273410775,29.13774896547672,335.60331237116617,,,,,,,,,,49.80520495274058,,,,88.61742352781033,18.837588091729998,,,,,,,,37.10078430536075,,,,,,,,,,,,,
47,DOWN,6.649260808495967,2405.995,b'swing0001',b'swing0001',b'swing0001',b'swing0001',221.38158452493772,125.4631273410775,29.13774896547672,335.60331237116617,24.42328373815989,,,,,,,,,49.80520495274058,,,,88.61742352781033,18.837588091729998,,,,,,,,26.788904188079982,,,,,,,,,,,,,
48,DOWN,,2000.5,b'swing0001',b'swing0001',b'swing0001',b'swing0001',221.38158452493772,125.4631273410775,29.13774896547672,335.60331237116617,,,,,,,,,,49.80520495274058,,,,88.61742352781033,18.837588091729998,,,,,,,,31.013126219887283,,,,,,,,,,,,,
49,DOWN,,2080.4,b'swing0001',b'swing0001',b'swing0001',b'swing0001',221.38158452493772,125.4631273410775,29.13774896547672,335.60331237116617,,,,,,,,,,49.80520495274058,,,,88.61742352781033,18.837588091729998,,,,,,,,27.16528647515142,,,,,,,,,,,,,
50,DOWN,,1696.975,b'swing0001',b'swing0001',b'swing0001',b'swing0001',221.38158452493772,125.4631273410775,29.13774896547672,335.60331237116617,,,,,,,,,,49.80520495274058,,,,88.61742352781033,18.837588091729998,,,,,,,,26.45688030864875,,,,,,,,,,,,,
51,DOWN,,1959.5549999999998,b'swing0001',b'swing0001',b'swing0001',b'stance0001',221.38158452493772,125.4631273410775,29.13774896547672,,,,,,,,,,,49.80520495274058,,,,88.61742352781033,18.837588091729998,,,,,,,,26.542539115672156,,,,,,,,,,,0.45644432558570847,82.44989787915763,83.63368457374968
52,DOWN,,1982.295,b'swing0001',b'swing0001',b'swing0001',b'stance0001',221.38158452493772,125.4631273410775,29.13774896547672,,,,,,,,,,,49.80520495274058,,,,88.61742352781033,18.837588091729998,,,,,,,,22.407891024202968,,,,,,,,,,,0.45644432558570847,82.44989787915763,83.63368457374968
53,DOWN,4.722645232430551,1856.51,b'swing0001',b'swing0001',b'swing0001',b'stance0001',221.38158452493772,125.4631273410775,29.13774896547672,,31.335254652626798,,,,,,,,,49.80520495274058,,,,88.61742352781033,18.837588091729998,,,,,,,,20.00508508532306,,,,,,,,,,,0.45644432558570847,82.44989787915763,83.63368457374968
54,DOWN,,1437.65,b'swing0001',b'swing0001',b'swing0001',b'stance0001',221.38158452493772,125.4631273410775,29.13774896547672,,,,,,,,,,,49.80520495274058,,,,88.61742352781033,18.837588091729998,,,,,,,,,,,,,,,,,,,0.45644432558570847,82.44989787915763,83.63368457374968
55,DOWN,,1617.25,b'swing0001',b'swing0001',b'swing0001',b'stance0001',221.38158452493772,125.4631273410775,29.13774896547672,,,,,,,,,,,49.80520495274058,,,,88.61742352781033,18.837588091729998,,,,,,10.150106113672848,,,,,,,,,,,,,0.45644432558570847,82.44989787915763,83.63368457374968
56,DOWN,,1890.61,b'swing0001',b'swing0001',b'swing0001',b'stance0001',221.38158452493772,125.4631273410775,29.13774896547672,,,,,,,,,,,49.80520495274058,,,,88.61742352781033,18.837588091729998,,,,,,,,,,,,,,,,,,,0.45644432558570847,82.44989787915763,83.63368457374968
