scorer,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000,DLC_resnet50_Skink03Apr8shuffle1_670000
bodyparts,Nose,Nose,Nose,Shoulder,Shoulder,Shoulder,Shoulder_FR,Shoulder_FR,Shoulder_FR,Shoulder_FL,Shoulder_FL,Shoulder_FL,Shoulder_HL,Shoulder_HL,Shoulder_HL,Shoulder_HR,Shoulder_HR,Shoulder_HR,Spine,Spine,Spine,Hip,Hip,Hip,Tail_middle,Tail_middle,Tail_middle,Tail_tip,Tail_tip,Tail_tip,FL_knee,FL_knee,FL_knee,FL,FL,FL,FL_ti,FL_ti,FL_ti,FL_ti1,FL_ti1,FL_ti1,FL_tm,FL_tm,FL_tm,FL_to1,FL_to1,FL_to1,FL_to,FL_to,FL_to,FR_knee,FR_knee,FR_knee,FR,FR,FR,FR_ti,FR_ti,FR_ti,FR_ti1,FR_ti1,FR_ti1,FR_tm,FR_tm,FR_tm,FR_to1,FR_to1,FR_to1,FR_to,FR_to,FR_to,HR_knee,HR_knee,HR_knee,HR,HR,HR,HR_ti,HR_ti,HR_ti,HR_ti1,HR_ti1,HR_ti1,HR_tm,HR_tm,HR_tm,HR_to1,HR_to1,HR_to1,HR_to,HR_to,HR_to,HL_knee,HL_knee,HL_knee,HL,HL,HL,HL_ti,HL_ti,HL_ti,HL_ti1,HL_ti1,HL_ti1,HL_tm,HL_tm,HL_tm,HL_to1,HL_to1,HL_to1,HL_to,HL_to,HL_to
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,614.447265625,235.63218688964844,1.0,537.78076171875,237.44430541992188,0.9999999403953552,530.4866333007812,258.550048828125,1.0,540.4895629882812,212.82530212402344,0.9999998211860657,387.3284912109375,211.56834411621094,1.0,386.5484924316406,256.63287353515625,1.0,459.5884094238281,229.2703857421875,1.0,389.1938171386719,235.58583068847656,1.0,338.27386474609375,232.82350158691406,1.0,291.4269714355469,215.56341552734375,0.9999996423721313,540.96337890625,187.38107299804688,0.9999990463256836,563.0243530273438,179.15414428710938,1.0,567.7892456054688,166.76856994628906,1.0,575.2077026367188,168.72525024414062,1.0,579.6719970703125,172.54258728027344,1.0,580.989013671875,179.3763885498047,1.0,571.805419921875,184.2991180419922,1.0,516.876220703125,269.9975891113281,0.9999998807907104,504.7666015625,289.83746337890625,0.9999998807907104,509.2525634765625,297.84503173828125,0.9999985694885254,516.9468383789062,300.09869384765625,0.9999998807907104,521.9452514648438,295.8002624511719,0.9999998807907104,518.6925659179688,289.13482666015625,0.9999994039535522,514.3694458007812,282.26812744140625,0.007843852043151855,390.682373046875,276.51953125,1.0,382.6582946777344,295.2994384765625,0.9999998807907104,388.98040771484375,302.8492126464844,0.9999996423721313,384.2925720214844,308.8652648925781,0.9999999403953552,377.582275390625,312.8815002441406,0.9999998211860657,374.02520751953125,307.7024230957031,0.9999984502792358,368.7734069824219,300.4032287597656,0.9999997615814209,390.4893798828125,187.67724609375,1.0,385.9885559082031,172.09555053710938,1.0,395.1629943847656,173.46478271484375,0.9999998807907104,398.7694396972656,165.92556762695312,1.0,396.3705749511719,160.50579833984375,0.9999997615814209,395.3115234375,149.5256805419922,1.0,381.55194091796875,158.68446350097656,0.9999996423721313
1,614.7742919921875,235.31602478027344,1.0,537.6983642578125,237.51609802246094,0.9999999403953552,530.3135986328125,258.82000732421875,1.0,540.6510009765625,212.54859924316406,0.9999999403953552,387.2878112792969,211.65188598632812,1.0,387.48785400390625,256.0301513671875,1.0,459.9747619628906,229.4453125,1.0,389.0751037597656,235.66729736328125,1.0,338.5096740722656,232.42648315429688,1.0,290.5783386230469,215.4502716064453,0.9999998211860657,541.5866088867188,187.2257537841797,0.999998927116394,562.9606323242188,179.02169799804688,1.0,567.677978515625,166.5889434814453,1.0,575.1736450195312,168.66807556152344,1.0,579.4772338867188,172.4776153564453,1.0,580.9467163085938,179.0326385498047,1.0,571.7890014648438,184.237060546875,0.9999998807907104,516.6597900390625,270.1689453125,0.9999998807907104,504.07818603515625,289.685302734375,0.9999998807907104,508.9671936035156,297.904296875,0.9999992847442627,516.1376342773438,299.9185485839844,0.9999998807907104,521.5001831054688,295.6253356933594,0.9999998807907104,517.9436645507812,289.0005798339844,0.9999995231628418,513.9713745117188,282.01458740234375,0.004921942949295044,390.93768310546875,276.31158447265625,1.0,382.87481689453125,294.2956848144531,0.9999998807907104,389.6116638183594,302.178466796875,0.999999463558197,385.2024230957031,308.2013244628906,1.0,378.260498046875,312.8212585449219,0.9999998807907104,373.1136779785156,307.8128356933594,0.9999986886978149,368.17608642578125,300.37786865234375,0.9999996423721313,390.6857604980469,187.88168334960938,1.0,385.7307434082031,172.4027099609375,1.0,395.2754821777344,173.5001983642578,0.9999998211860657,398.8291015625,166.04818725585938,1.0,396.10406494140625,160.2692413330078,0.9999998807907104,395.1191711425781,149.20191955566406,1.0,381.25286865234375,158.55735778808594,0.999999463558197
2,614.4398193359375,235.23899841308594,1.0,538.0963134765625,237.4815673828125,0.9999998807907104,530.8070068359375,258.7680358886719,1.0,540.7066650390625,212.55189514160156,0.9999998807907104,387.08489990234375,211.5474395751953,1.0,387.0147705078125,256.224365234375,1.0,460.1143493652344,229.63278198242188,1.0,389.0279235839844,235.62908935546875,1.0,337.99365234375,232.3258819580078,1.0,290.5784912109375,215.62376403808594,0.9999998807907104,541.699462890625,187.10818481445312,0.999998927116394,563.0309448242188,179.03494262695312,1.0,567.7099609375,166.57884216308594,1.0,575.2350463867188,168.6263427734375,1.0,579.7423706054688,172.4403533935547,1.0,580.6259155273438,179.15228271484375,1.0,571.8921508789062,184.1802520751953,1.0,516.8384399414062,270.09228515625,0.9999999403953552,503.7977600097656,289.79864501953125,1.0,508.4271545410156,297.9163513183594,0.999999463558197,515.8906860351562,300.10577392578125,0.9999998807907104,521.3194580078125,296.1694641113281,0.9999998807907104,517.8352661132812,289.71209716796875,0.9999998211860657,513.8301391601562,282.3892822265625,0.006923198699951172,390.9793395996094,276.36505126953125,1.0,382.83880615234375,294.6052551269531,0.9999998807907104,389.32672119140625,302.4483947753906,0.9999995827674866,384.8702392578125,308.39434814453125,1.0,377.8560791015625,312.6289367675781,0.9999998807907104,373.1026611328125,306.9110412597656,0.999998927116394,368.28619384765625,300.08404541015625,0.9999996423721313,390.3907775878906,187.7174530029297,1.0,385.2490539550781,171.81106567382812,1.0,395.1316833496094,173.3465118408203,0.9999998807907104,398.7686462402344,166.00457763671875,1.0,396.231689453125,160.31150817871094,0.9999998807907104,395.1633605957031,149.26467895507812,1.0,381.47003173828125,158.49639892578125,0.9999996423721313
3,613.6431884765625,234.693603515625,1.0,537.575927734375,237.24502563476562,0.9999998807907104,530.4940795898438,258.555419921875,1.0,540.4432983398438,212.1210174560547,0.9999998807907104,386.56549072265625,211.7183380126953,1.0,386.5281066894531,256.35601806640625,1.0,459.566650390625,229.5717315673828,1.0,388.25103759765625,235.48704528808594,1.0,337.856201171875,232.7354736328125,1.0,290.26861572265625,215.63729858398438,0.9999999403953552,542.1602783203125,186.6678924560547,0.9999986886978149,563.0580444335938,178.97169494628906,1.0,567.8990478515625,166.46951293945312,1.0,575.2818603515625,168.2832794189453,1.0,579.7255249023438,172.35009765625,1.0,580.689697265625,178.9871063232422,1.0,572.093994140625,184.13934326171875,0.9999998807907104,516.69189453125,269.8760986328125,0.9999998807907104,503.8607482910156,289.5091552734375,1.0,508.3112487792969,297.776611328125,0.999999463558197,515.810791015625,300.1347961425781,0.9999999403953552,521.0470581054688,296.14849853515625,0.9999999403953552,517.4255981445312,289.5386962890625,0.9999998807907104,513.8517456054688,282.1658630371094,0.005359172821044922,390.97406005859375,276.19140625,1.0,383.03887939453125,295.0081787109375,0.9999998807907104,388.9309997558594,302.88177490234375,0.9999995827674866,384.12005615234375,308.4921569824219,0.9999998807907104,377.5884704589844,312.6031494140625,0.9999999403953552,374.3287353515625,306.5232238769531,0.9999988079071045,368.69140625,300.5536804199219,0.9999997615814209,390.54461669921875,187.9681396484375,1.0,385.8652038574219,172.31851196289062,1.0,395.13360595703125,173.38613891601562,0.9999998211860657,398.687255859375,166.00694274902344,1.0,396.1540832519531,160.60220336914062,0.9999998807907104,395.04779052734375,149.6698760986328,1.0,381.408935546875,158.57180786132812,0.999999463558197
4,614.2294311523438,235.1956329345703,1.0,538.2677001953125,237.25857543945312,0.9999998807907104,531.1900024414062,258.28155517578125,1.0,540.3452758789062,212.28717041015625,0.9999998807907104,387.0342712402344,211.93429565429688,1.0,386.5151672363281,256.4200439453125,1.0,460.1839904785156,229.614501953125,1.0,388.37078857421875,235.67584228515625,1.0,337.40777587890625,232.25538635253906,1.0,291.7276306152344,214.37136840820312,1.0,541.904541015625,186.902099609375,0.999998927116394,563.0142211914062,178.98809814453125,1.0,567.7048950195312,166.5479278564453,1.0,575.2074584960938,168.70556640625,1.0,579.581787109375,172.43946838378906,1.0,580.63818359375,178.900634765625,1.0,572.0938720703125,184.1483917236328,1.0,516.7030029296875,270.0231628417969,0.9999998211860657,504.1969299316406,289.3187561035156,1.0,508.66326904296875,297.4720764160156,0.9999991655349731,516.0391235351562,299.99005126953125,0.9999999403953552,521.0584106445312,295.97271728515625,0.9999998807907104,517.1846313476562,289.296142578125,0.9999997615814209,514.038330078125,281.87738037109375,0.001908630132675171,391.14453125,276.383544921875,1.0,383.2467041015625,295.0111083984375,0.9999998807907104,389.3826599121094,302.6288146972656,0.9999993443489075,384.6170654296875,308.8037414550781,0.9999999403953552,377.6981506347656,313.383544921875,0.9999998807907104,373.525634765625,308.22991943359375,0.9999983310699463,368.7445983886719,300.6458435058594,0.9999997615814209,390.33233642578125,188.08102416992188,1.0,385.34332275390625,171.8197784423828,1.0,395.07989501953125,173.28794860839844,0.9999998807907104,398.6712646484375,166.03509521484375,1.0,396.341552734375,160.64857482910156,0.9999998807907104,395.4244079589844,150.0331573486328,0.9999999403953552,381.4266052246094,158.6350860595703,0.9999995231628418
5,614.7469482421875,235.99295043945312,0.9999999403953552,538.2479248046875,237.37051391601562,0.9999998807907104,531.0659790039062,258.5072021484375,1.0,540.4963989257812,212.47630310058594,0.9999998807907104,387.3683776855469,212.16607666015625,1.0,387.0264587402344,256.1790466308594,1.0,460.32208251953125,229.76634216308594,1.0,388.85479736328125,235.52947998046875,1.0,337.1488342285156,230.81936645507812,1.0,293.0552673339844,212.79832458496094,1.0,541.89892578125,186.97903442382812,0.9999987483024597,562.9801025390625,178.89932250976562,1.0,567.6575927734375,166.50035095214844,1.0,575.2809448242188,168.67196655273438,1.0,579.5215454101562,172.45042419433594,1.0,581.1290893554688,179.014892578125,1.0,571.8460693359375,184.1161346435547,1.0,516.6498413085938,270.0818786621094,0.9999998807907104,504.3465270996094,289.1611022949219,1.0,508.87530517578125,297.35516357421875,0.9999994039535522,515.972900390625,299.62255859375,0.9999998807907104,520.844970703125,295.6590270996094,0.9999999403953552,517.35546875,288.9402770996094,0.9999996423721313,514.0979614257812,281.7520446777344,0.002775341272354126,391.3061828613281,276.8493347167969,1.0,383.21844482421875,294.5504455566406,0.9999998211860657,389.6155700683594,302.2088623046875,0.9999990463256836,384.8372497558594,308.8544006347656,0.9999998807907104,377.3946838378906,314.1316223144531,0.9999998807907104,371.72882080078125,310.3070373535156,0.9999949932098389,368.07305908203125,300.5038757324219,0.9999996423721313,390.4295349121094,188.2620391845703,1.0,385.71490478515625,172.6099395751953,1.0,394.88287353515625,173.79518127441406,0.9999998807907104,398.72564697265625,166.5469970703125,1.0,396.9120788574219,160.80029296875,0.9999998807907104,395.3910217285156,150.0072784423828,1.0,381.42633056640625,158.83056640625,0.999999463558197
6,614.3934326171875,235.90016174316406,0.9999998807907104,538.2032470703125,237.5005645751953,0.9999998807907104,531.052978515625,258.463623046875,1.0,540.5526733398438,212.6522979736328,1.0,387.80206298828125,212.163330078125,1.0,387.1739196777344,256.0942077636719,1.0,460.3905029296875,230.02740478515625,1.0,389.12744140625,235.601318359375,1.0,336.821044921875,230.37379455566406,0.9999999403953552,292.81219482421875,212.23377990722656,1.0,541.8612670898438,187.00978088378906,0.9999988079071045,562.936279296875,179.07522583007812,1.0,567.6211547851562,166.61573791503906,1.0,575.3735961914062,168.69924926757812,1.0,579.7195434570312,172.41136169433594,1.0,581.0881958007812,179.00172424316406,1.0,572.02783203125,184.1378936767578,1.0,516.3827514648438,270.0556640625,0.9999998211860657,504.2059631347656,289.3944091796875,1.0,508.6397399902344,297.6869201660156,0.9999994039535522,516.0132446289062,299.9040222167969,0.9999998807907104,521.2118530273438,296.0099792480469,0.9999998807907104,517.408935546875,289.3735046386719,0.9999996423721313,514.3714599609375,282.1418762207031,0.004721522331237793,391.597412109375,277.12261962890625,1.0,383.3187561035156,294.5259704589844,0.9999997615814209,389.8624267578125,301.952880859375,0.9999990463256836,385.002685546875,308.6705627441406,0.9999998211860657,377.5783996582031,314.3976745605469,0.9999998807907104,372.0767822265625,310.29498291015625,0.9999949932098389,368.1628723144531,300.4653015136719,0.9999996423721313,390.341796875,188.4510955810547,1.0,385.0705261230469,171.90435791015625,1.0,394.89703369140625,173.77549743652344,0.9999997019767761,398.7901306152344,166.38742065429688,1.0,396.7357177734375,160.73289489746094,0.9999997615814209,395.49407958984375,149.96444702148438,1.0,381.4969482421875,158.59954833984375,0.9999997615814209
7,614.3600463867188,236.24130249023438,1.0,538.1748046875,237.58119201660156,1.0,530.9115600585938,258.4161682128906,1.0,540.5227661132812,212.84449768066406,1.0,387.9421081542969,212.35952758789062,1.0,387.4590759277344,255.47239685058594,1.0,460.3908996582031,229.95016479492188,1.0,389.3178405761719,235.6498565673828,1.0,335.37860107421875,229.6952362060547,1.0,293.3656921386719,212.51393127441406,1.0,541.7288208007812,187.18698120117188,0.9999987483024597,562.8201904296875,179.22589111328125,1.0,567.5747680664062,166.75588989257812,1.0,575.2615356445312,168.8031005859375,1.0,579.6282958984375,172.49899291992188,1.0,581.1903686523438,179.11444091796875,1.0,572.0137939453125,184.269775390625,0.9999998807907104,516.3384399414062,270.2279968261719,0.9999998807907104,504.17010498046875,289.6714172363281,1.0,508.6949768066406,297.8187561035156,0.9999996423721313,515.8805541992188,299.9918518066406,1.0,520.9608764648438,296.15081787109375,0.9999999403953552,517.3646240234375,289.5239562988281,0.9999997615814209,514.4163208007812,282.16229248046875,0.003570765256881714,391.36383056640625,277.3305358886719,1.0,383.17413330078125,293.6986389160156,0.9999998807907104,389.7214050292969,302.4303894042969,0.999998927116394,385.5659484863281,308.6156311035156,0.9999998807907104,377.588623046875,315.0567321777344,0.9999998807907104,370.5080871582031,311.7828674316406,0.9999949336051941,367.5902099609375,300.4494323730469,0.9999994039535522,390.3125,188.71392822265625,1.0,385.69195556640625,172.49716186523438,1.0,394.8877868652344,173.7964324951172,0.9999997615814209,398.7955017089844,166.54029846191406,1.0,396.60345458984375,160.57025146484375,0.9999997615814209,395.38232421875,149.7529754638672,1.0,381.43988037109375,158.53350830078125,0.9999996423721313
